Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
12,140,The Coriolis effect on a helicopter means.,C,the blade that flaps down will speed up.,the axis of rotation is not perpendicular to the plane of rotation.,the blade which flaps up will accelerate.
12,141,The ability of the blade to move up and down is.,B,feathering.,flapping.,dragging.
12,142,An artificial feel system is necessary in a powered flying control system to.,C,prevent overloading of the power control units.,increasing the sensitivity of the control system.,provide the pilot with simulated stick forces.
12,143,"In the event of hydraulic failure in a power control system, a requirement of the manual reversion is that it must be",B,"possible, but not recommended.",automatic and instantaneous.,operated by the standby hydraulic system.
12,144,The purpose of control cable regulators is to.,B,compensate for high temperature only.,maintain preset cable tensions during flight.,compensate for low temperature only.
12,145,Range of movements of power operated flying control surfaces are limited by.,C,travel of the jack body.,travel of the jack ram.,mechanical stops in the control system.
12,146,The purpose of the Servo Valve in a power operated control is.,A,to direct hydraulic fluid to the jack in response to the pilots control in cockpit.,to revert the system to manual operation.,to provide pressure to operate the control.
12,147,The tip path plane is tilted.,C,90 ° after in the direction that the cyclic stick is moved by.,90 ° in advance of the direction the cyclic stick is moved by.,in the same direction as the cyclic stick is moved.
12,148,A tail rotor control is rigged so that it can move from positive pitch through neutral to negative pitch. This is to.,C,enable full control in powered flight.,enable full control in the hover.,enable full control in autorotation.
12,149,The collective lever controls.,A,the vertical movement of the helicopter.,the horizontal movement of the helicopter.,controls the helicopter movement about the vertical axis.
12,150,The main rotor head hydraulic damper beam has been over tensioned. This would cause.,C,too much stability and over sensitive controls.,too much stability and less sensitive controls.,instability and over sensitive controls.
12,151,Powered flying control actuators.,A,transmit pilot input to the control surfaces.,provide feedback to the pilot.,are operated by the autopilot only.
12,152,"During translational flight, a tandem rotor helicopter is controlled by.",C,the rear rotor only is tilted.,the forward rotor only is tilted.,both the forward rotor and the rear rotors independently.
12,153,"In a power assisted flight control system, the feel required is normally supplied by.",C,Q' feel.,stretching springs.,air loads on the control surfaces.
12,154,Irreversibility of a fully powered control system is provided by.,B,the jack ram being attached to structure.,nulling of the servo valve.,air loads on the blades.
12,155,Powered flight control systems are used on large helicopters.,B,because the pilot has too many tasks to perform.,due to the increase in speed and size of aircraft.,because at low level air density is high.
12,156,"Under heavy stick loads, the button on the cyclic stick would be used to.",A,reposition force trim.,disengage force trim.,engage force trim.
12,157,How do the rotors turn on a co-axial rotor system?.,A,They counter-rotate on a common shaft.,Both rotate in the same direction on a common shaft.,They counter-rotate on separate shafts.
12,158,"In autorotation, what is the initial effect on the rotor when the cyclic control lever is pulled back?.",C,The rotor will slow down.,The rotor speed will be unaffected.,The rotor will initially speed up.
12,159,What is the difference between transient and static droop?.,C,Over-swing.,Centrifugal latches.,Under-swing.
12,160,When lifting the collective lever during an autorotative descent the rotor RPM will.,B,remain the same.,reduce.,increase.
12,161,Moving the collective lever results in the pitch on the rotor blades.,C,changing the same amount in different directions.,remaining the same.,changing the same amount in the same direction.
12,162,Rotor heads incorporate elastomeric bearings because.,B,they reduce rotational loads.,they are easier to maintain.,they reduce oscillatory loads.
12,163,"In forward flight, pitch on the retreating blade is.",C,decreased.,the same.,increased.
12,164,"During the transition from the hover to forward flight, the helicopter requires.",B,less power.,more power.,no change in power.
12,165,Dissymmetry of lift in a helicopter main rotor is counteracted by.,B,cyclic feathering.,permitting the rotor blade to flap.,biasing the stick to port.
