Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
16,1,If an engine has a total cylinder volume of 2100 cm3 and a swept volume of 1800 cm3 its compression ratio would be:,B,6: 1,7: 1,7: 6
16,2,IHP is the power:,C,developed in the cylinder,measured at the propeller shaft,used to drive the accessories
16,3,If ignition occurs when the piston is at 20o before TDC it is,C,retarded with respect to 18o before TDC,more advanced than 22o before TDC,more advanced than 18o before TDC
16,4,How many valves are normally fitted to a standard single cylinder?,B,Four,Two,Six
16,5,Maximum pressure in the cylinder is:,A,on the power stroke,on the compression stroke,on the exhaust stroke
16,6,Valve overlap is :,C,when both valves are open over BDC on the induction/compression strokes,when both valves are closed together,when both valves are open over TDC on the exhaust/induction strokes
16,7,"With an increase in RPM, valve overlap will:",B,increase,remain the same,decrease
16,8,Friction horsepower is the power,B,Measured in the cylinder,"used to overcomethe friction of pistons, crankshafts and bearings etc",measured at the break shaft
16,9,Compression ratio is the ratio between the,B,piston travel on the compression stroke and on the intake stroke,cylinder volume with piston at bottom dead centre and at top dead centre,combustion chamber pressure on the combustion stroke and on the exhaust stroke
16,10,In a four stroke cycle the following actions occur:,B,Exhaust stroke follows the induction stroke,Compression stroke follows the induction stroke,Induction stroke follows the power stroke
16,11,The speed at which valve timing gears operate is,C,crankshaft speed,twice crankshaft speed,half crankshaft speed
16,12,In the four stroke cycle:,C,exhaust follows compression stroke,induction follows power stroke,compression follows induction stroke
16,13,Pressure scavenging is obtained by valve:,C,lead on the inlet valve,lag on the exhaust valve,lead on the exhaust valve
16,14,An Engine Type Certificate is issued by the :,B,Manufacturer,Licensing Authority,Operator
16,15,What is the firing order of a 7 cylinder radial engie,A,1357246,1473625,1362574
16,16,Valve lead is when the:,B,exhaust valve opens before the inlet valve,inlet valve opens before TDC and the exhaust valve opens before BDC,inlet valve opens before the exhaust valve
16,17,Newtons's third law of motion states:,C,a change in motion is proportional to the force applied,a mass will remain at rest or in uniform motion unless acted upon by an external force,to every action there is an equal and opposite reaction
16,18,"In the modified Otto Cycle, the reason for the inlet valve opening before the exhaust stroke T.D.C. is",B,to increase the pressure in the cylinder on completion of the induction stroke,to induce a greater amount of mixture into the cylinder,to allow the incoming mixture to mix with a certain proportion of exhaust gases
16,19,Thermal efficiency is:,B,The ratio of the fuel it uses to the heat developed in the cylinder,The ratio of the work done by an engine to the heat energy of the fuel it uses,the heat of the induction charge
16,20,The thermal efficiency of the engine can be increased by:,B,increasing the RPM,increasing the compression ratio,increasing the piston area
16,21,The working cycle of a four-stroke engine is,B,"induction, power, compression, exhaust","induction, compression, power, exhaust","compression, induction, power, exhaust"
16,22,If there is insufficient tappet clearance in an engineâ€™s inlet valve the result would be:,A,a weak mixture in that cylinder,popping back in the carburetor manifold,Misfiring
16,23,The exhaust valve opens:,C,After BDC on the induction stroke,Before TDC on the exhaust stroke,Before BDC on the power stroke
16,24,The Piston Engine is a machine devised for the purpose of converting:,A,Heat Energy into mechanical energy,Rotary motion of the crankshaft into torque,Pressure energy into mechanical energy
16,25,Relative to TDC ignition timing is normally indicated as occurring at the following point:,A,Advanced,Normal,Retarded
16,26,The number of revolutions of the crankshaft to complete a full cycle in a four-stroke engine,A,2,8,4
16,27,A typical figure for thermal efficiency is:,A,25%,50%,85%
16,28,"On the induction stroke, if the piston is at 100 after TDC the exhaust valve is",A,nearly closed,fully closed,fully open
16,29,The five events of a four-stroke Otto cycle engine in the order of their occurrence are,B,"intake, ignition, compression, power, exhaust","intake, compression, ignition, power, exhaust","intake, power, compression, ignition, exhaust"
16,30,Exhaust back pressure reduces:,A,volumetric efficiency,mechanical efficiency,thermal efficiency
16,31,What is the rotational speed of a camshaft?,B,The same speed as the crankshaft,Half the speed of the crankshaft,Twice the speed of the crankshaft.
16,32,"A cylinder has a clearance volume of 200 cubic centimeters and a swept volume of 1300 cubic centimeters, the compression ratio is:",B,6.5 : 1,7.5 : 1,5.5 : 1
16,33,"The weight of charge, on the compression stroke, will:",C,increase,decrease,remain the same
16,34,Mechanical efficiency of an engine is:,B,IHP/BHP,BHP/IHP,THP/IHP
16,35,The amount of heat released during combustion that is converted into mechanical work is:,C,50%,85%,25%
16,36,The inlet valve is opened before TDC:,C,so that both valves can be opened together,To blow the exhaust gases from the cylinder,To overcome the inertia of the induction fuel/air mixture
16,37,Compression ratio is found by dividing the:,B,total volume by the swept volume,swept plus clearance volume by the clearance volume,swept volume by the clearing volume
16,38,In which of the following orders do the four stroke occur:,B,"induction, power, compression, exhaust","power, exhaust, induction, compression","exhaust, compression, induction, power"
16,39,The compression ratio of an engine cylinder,C,is the ratio of the clearance volume to the swept volume,is the ratio of the total volume to the swept volume,is the ratio of the total volume to the clearance volume
16,40,The number of revolutions of the crankshaft to complete a full cycle in a 3-cylinder four stroke engine is:,A,2,8,4
16,41,Exhaust valve lag is;,A,When the exhaust valve closes after TDC on the induction stroke,When the exhaust valve closes after BDC on the induction stroke,When the exhaust valve opens before BDC on the induction stroke
16,42,Swept volume is equal to:,A,area of the cylinder multiplied by twice the crankthrow,area of cylinder multiplied by the crankthrow,diameter of the cylinder multiplied by the stroke
16,43,The swept volume of a cylinder is,B,the volume of the cylinder with the piston removed,the difference in volume within a cylinder between piston TDC and BDC,the amount of air ejected through the exhaust port in one cycle
16,44,Valve overlap is defined as the number of degrees of crankshaft travel,C,between the closing of the intake valve and the opening of the exhaust valve,during which both valves are on their seats,during which both valves are off their seats
16,45,"The volume of the mixture, on the power stroke will:",C,decrease,remain the same,increase
16,46,Valve lead is the term applied when the inlet valve opens before:,C,Bottom dead center,The exhaust valve,Top dead center and the exhaust valve opens before bottom dead center
16,47,The inlet valve opens:,A,Before TDC on the exhaust stroke,Before BDC on the compression stroke,After TDC on the induction stroke
16,48,The four strokes of the Otto cycle in order are:,C,compression induction power exhaust,ignition compression power exhaust,induction compression power exhaust
16,49,The weight of the charge in a cylinder during compression assuming no valve leaks,C,decreases,increases,remains the same
16,50,Valve overlap is,B,the amount in piston movement that the inlet valve remains open after T.D.C.,the amount in degrees of crankshaft rotation that the inlet and exhaust valves are open at the same time,the amount in piston movement that the inlet valve remains open after B.D.C.
16,51,The camshaft of a horizontally opposed 4 stroke engine rotates,A,at half engine speed,at twice engine speed,at engine speed
16,52,Pressure scavenging is initiated by:,B,Opening the exhaust valve after BDC on the exhaust stroke,Opening the exhaust valve before BDC on the power stroke,Closing the exhaust valve after TDC on the inlet stroke
16,53,The compression ratio of a piston engine,C,will increase with an increase in engine rev/min,will increase with an increase in manifold pressure,is a constant factor for a particular engine
16,54,One purpose of the crankshaft is to,C,move the pistons,open and close the valves,drive the accessory gearbox
16,55,If the piston is travelling toward TDC the engine is on the:,C,induction stroke,power stroke,compression stroke
16,56,A single cylinder four stroke engine provides one power stroke for every:,B,crankshaft revolution,two crankshaft revolutions,a half crankshaft revolution
16,57,Engine power depends upon:,B,the revolutions per minute (rev/min),the rev/min compression ratio and combustion pressure,the rev/min and the efficiency of the ignition
16,58,The power output of the engine is determined by:,C,the number of cylinders,altitude,weight of the induced charge
16,59,Brake horse power is the power:,A,available to do external work,developed in the cylinder,used to overcome friction
16,60,Indicated mean effective pressure is:,B,the power available at the crankshaft,the average pressure developed within the engine,the pressure developed by the engine
16,61,"During the Modified four-stroke cycle, when does ignition take place",C,At TDC on the power stroke,After TDC on the power stroke,Before TDC on the compression stroke
16,62,Length of the stroke is:,A,twice the crank throw,Â½ crank throw,equal to crank throw
16,63,What is the compression ratio of an engine with a total volume of 1300 CC and a swept volume of 1100 CC?,C,13.1,5.5:1,6.5:1
16,64,As engine speed increases the ignition point is:,C,remains the same,retarded,advanced
16,65,During the theoretical four-stroke cycle the inlet valve is:,C,Open together with the exhaust valve on the exhaust stroke,Opened before TDC on the exhaust stroke,Closed at BDC on the induction stroke
16,66,During the compression stroke the temperature of the charge,C,stays the same,decreases,increases
16,67,Valve clearance must be maintained to allow for:,A,thermal expansion,wear in the rocker arm,wear in the valve stem
16,68,Valve overlap is incorporated in a piston engine to,C,prevent a weak-out when the engine is accelerated rapidly,increase the engine compression ratio,improve volumetric efficiency
16,69,Aero-engines are designed with high compression ratios in order to:,A,increase the horse power,avoid detonation,maintain power at high altitudes
16,70,"As an aircraft climbs, the air density will:",B,increase,decrease,remain the same
16,71,What effect will the selection of economical cruise have on the air/fuel ratio?,B,It will be at stoichiometric,It will be weaker than stoichiometric,It will be richer than stoichiometric
16,72,Due to the decrease in density associated with an increase inaltitude:,C,the mixture must be enriched to compensate for power,the throttle needs to be close to maintain the best fuel air,the mixture needs to be weakened
16,73,If the mixture is weakened below the best power fuel/air ratio the engine power will,C,"initially increase , but below take off power will decrease",increase,decrease
16,74,A rich mixture will be indicated by:,A,loss of power and decrease in engine temperature,will have no indication,increase in power and increase in engine temperature
16,75,When does the engine produce best power?,C,Throughout the whole range,At take off,At about 12.5:1 air/fuel ratio
16,76,At altitude the power of a normally aspirated engine:,C,increases,increases initially then decreases,decreases
16,77,The horsepower developed in the cylinders of a reciprocating engine is known as the,A,indicated horsepower,brake horsepower,shaft horsepower
16,78,The thermal efficiency of piston engine increases with an increase in:,B,piston diameter,compression ratio,engine speed
16,79,Maximum engine speed is varied by,A,moving the PCU lever,command from the FCU,moving the throttle lever
16,80,The fuel flow to a piston engine will vary with:,C,rev/min and throttle position only,rev/min and mixture selection only,"rev/min, throttle position and mixture"
16,81,How does injection of water or water-alcohol during high power output increase the available power of reciprocating engines ?,B,By improving volumetric efficiency,By suppressing detonation,By increasing the weight of charge
16,82,An increase in temperature will:,C,have no effect on density.,cause an increase in density,cause a decrease in density.
16,83,A weak mixture will be indicated by:,B,will have no indication,loss of power and rise in engine temperature,an increase in power and drop in engine temperature
16,84,The mixture on take-off and climb is supplied over-rich:,C,to give greater thermal efficiency,to give excess power,to assist in cooling and prevent detonation
16,85,Black smoke emitting from an exhaust system is indicative of:,A,an over rich mixture.,a very lean mixture.,an oil leak in the inlet manifold.
16,86,"When black smoke is seen in the exhaust, it is an indication of",A,a rich mixture,an oil leak into the exhaust,a weak mixture
16,87,The ratio of the power produced by an engine to the power available in the fuel is known as,C,specific fuel consumption,indicated horse power available,thermal efficiency
16,88,The margin between power required and power available:,A,"decreases, because power required increases and power available decreases with increasing altitude",increases with altitude due to the change in power requirements,increases with altitude because power available decreases as density decreases
16,89,Detonation is recognised by:,A,metallic knocking noise from the engine,loss of power,Fluctuating RPM
16,90,The specific fuel consumption of an engine,C,is the ratio of the quantity of fuel consumed per hours at economical cruising power to the quantity of fuel consumed per hour at take-off,is the quantity of fuel consumed per hour at maximum take-off power conditions,is the quantity of fuel consumed per horse-power developed per hour
16,91,The effect of altitude on a normally aspirated engine is to:,A,reduce the power output,increase exhaust back pressure,reduce engine revolutions
16,92,Brake Mean Effective Pressure is,A,the average useful working pressure applied to the piston during the working stroke,the minimum working pressure obtained in a cylinder,the maximum working pressure reached in the engine cylinder
16,93,Specific fuel consumption is the,B,Number of horse power produced by one pound of fuel,Number of pounds of fuel burned per hour to produce one horse power,Number of pounds of fuel consumption to produce one break horse power
16,94,Brake horse power is the power:,C,developed in the cylinders,used to overcome friction,available to do external work on the propeller shaft
16,95,Indicated Horse Power is the power:,B,used to drive the accessories,developed in the cylinder,measured at the propeller shaft
16,96,"As an aircraft climbs at a fixed throttle setting, the mixture will:",C,become leaner.,remain the same.,become richer.
16,97,Volumetric efficiency of a piston engine is an indication of the efficiency with which,C,compression is achieved,expansion takes place after combustion,the cylinder fills with fresh charge
16,98,To ensure that the mixture strength remains constant with a decrease in air density the fuel flow rate needs to be :,B,kept constant,decreased,increased
16,99,The margin between power required for flight and power available from the engine,B,is substantially unaffected by altitude since both alter at the same rate,decreases at altitude due to the increase in the power required and the decrease of the power available,widens at altitude because of the decline in the power available
16,100,The main difference between detonation and pre-ignition is that:,A,pre-ignition occurs before normal ignition and detonation occurs after normal ignition,"detonation occurs before normal ignition, while pre-",there is no basic difference as they both cause excessive temperature
16,101,An increase in engine speed will provide more power due to the increase in:,B,specific fuel consumption,weight of fuel burned in a given time,the compression ratio
16,102,For what duration can an engine be run at maximum continuous power?,A,For an unlimited duration,Unrestricted duration with economical cruising mixture strength,For a duration of 5 minutes only
16,103,The greater the weight of combustion mixture in the cylinder:,C,the weaker is the mixture,the more the power is decreased,the greater is the power developed
16,104,To obtain an increase in power without detonation:,C,a lower octane rating fuel is necessary,a weak mixture is necessary,a rich mixture is necessary
16,105,At altitude the effect of exhaust back pressure is to,C,decrease power,has no effect on power,increase power
16,106,"The higher the aircraft climbs, the availability of oxygen for combustion becomes",B,sufficient,less,more
16,107,The actual power delivered to the propeller of an aircraft engine is called,A,brake horsepower,mean effective horsepower,friction horsepower
16,108,When calculating the indicated horsepower (IHP) by using the PLANK formula. N in the formula stands for,B,Number of cycles per minute,Number of strokes per minute,Number of cylinders
16,109,Detonation can be caused by:,A,a very lean mixture,low compression within the cylinders.,an over rich mixture
