Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
5,1,What is the expression EFIS mean ?,C ,Electromagnetic Flight Instrument System,Electronic Flight Indicator System,Electronic Flight Instrument System
5,2,Which of the following isn't include in EFIS system?,B,Electronic attitude deviation indicator (EADI),Traffic alert and collision avoidance system (TCAS),Electronic horizontal situation indicator (EHSI)
5,3,The meaning of the term EADI is :,A,Electronic attitude deviation indicator,Electromagnetic attitude data indicator,Electromechanic attitude deviation indicator
5,117,What are the basic elements for 'Classic T' format?.,C,"Direction, altitude and height.","Airspeed, pitch and roll.","Airspeed, attitude, altitude and direction."
5,118,Typical displays on an EHSI are.,B,Engine indications.,"VOR, Map, Plan and weather radar.","VOR, Plan, Map and Attitude."
5,119,An EADI display showing a moving runway moves down during the final stages of an approach. The aircraft must.,A,fly down.,fly up.,hold descent path.
5,120,"During an instrument approach, the glideslope pointer eflects below the glideslope centre mark. This means the aircraft is positioned.",A,above the glideslope,below the glideslope,to the left of the localiser.
5,121,Engine parameters are displayed on.,A,ECAM.,EHSI.,FMSCDU.
5,122,What is the fixed feature of an ADI?.,B,The glideslope pointer.,The aircraft symbol.,The lateral deviation bar.
5,123,"On an EADI, the Flight Director command bars show.",B,the path with respect to the horizon.,the required path with respect to the actual path.,the actual path with respect to the required path.
5,124,What instrument includes a display of a rising runway?.,C,ECAM.,EHSI.,EADI.
5,125,What functions are available on the EHSI?.,B,Full arc and Wx only.,"Full arc, Wx and Map Mode.",Full Arc only.
5,126,"With radio coupled autopilot, what are the inputs?.",B,ADF and VOR.,ILS and VOR.,ADF and ILS.
5,127,An EADI display of flight director commands are coloured.,B,cyan.,magenta.,red.
5,128,"EFIS systems have two control panels, their purpose is.",A,one to control the type of EFIS display and the other to select the source of the information being displayed.,one for the EADI display and one for the EHSI display.,to provide display control by one control panel whilst the other provides a standby.
5,129,What would you expect to see displayed on an EADI display?.,C,"Compass heading, selected heading and VOR.","Course information, weather radar, way point alert and bearing pointers.","Flight director command bars, slip indicator, rate to altitude & autoland."
5,130,An EFIS ADI display will show along with pitch and roll.,B,"flight director bars, autoland, compass rose, altitude.","decision height, autoland, rad alt , altitude.","flight director bars, autoland, altitude, range to altitude, decision height."
5,131,If the glideslope pointer is below the centre mark the aircraft is.,C,below the glideslope.,on the glideslope.,above the glideslope.
5,132,On an EFIS system the weather radar is displayed on.,C,the FMC CDU.,the EADI.,the EHSI.
5,133,EADI displays show.,B,"pitch, roll and waypoints.",pitch and roll attitudes.,heading and weather radar.
5,134,"On an EHSI in weather radar mode, a severe storm would be shown as.",B,orange areas with black or yellow surrounds.,red areas with black surrounds,blue areas with white background.
5,135,During flight (non fault conditions) the EICAS system displays on the lower CRT.,B,flight phase page.,secondary engine parameters.,synoptic display.
5,136,Radio altitude is displayed on an EFIS system.,B,on the Electronic Horizontal Situation Indicator.,on the Electronic Attitude Direction Indicator.,on the RMI.
5,137,"An EFIS system ADI displays pitch, roll.",B,"autoland, altitude, compass rose and flight director bars.","autoland, decision height, range to altitude and flight director bars and slip indicator.","autoland, rad alt, decision height and slip indicator."
5,138,An electronic flight instrument display consists of.,A,"Mode control panel, Raster and Stroke generator display, microprocessor and Data inputs","ADC, Altimeter, VSI and ASI.","ADI, HSI and Symbol generator."
5,139,The EFIS system consists of.,B,"EHSI, Mode control panel, EADI.","EADI, EHSI, Symbol generators.","Mode control Panel, RDMI, EHSI."
5,140,ILS indications on PFD/ND are shown in.,B,cyan.,magenta.,green.
5,141,A weather radar image can be displayed on the ND on all modes except.,C,arc.,nav rose.,plan.
5,142,In a typical commercial aircraft Head Up Guidance System.,A,the type of information shown on the attitude director indicator is displayed on a transparent plate.,all instrument information is displayed on the windshield.,only emergency indications or warnings are displayed to the pilot.
5,143,A modern Electronic Horizontal Situation Indicator will display the following:.,A,"Waypoints, ILS Steering Information, Distance to go and Magnetic Heading.","ILS Steering Information, Flight director information and Glide Slope Deviation.","Ground speed, Magnetic Heading, Way points and Localiser."
5,144,Cockpit panels have a matt colour finish. The purpose is.,B,so that pilots feel more comfortable during daytime.,so that the amount of glare is reduced to minimum.,so that dust and dirt are less evident on panels.
5,145,A complete EFIS installation in an aircraft is made up of.,A,either of the above.,right (captain) and left (co-pilot).,left (captain) and right (co-pilot).
5,146,"On a modern 'glass cockpit' aircraft, engine information will be.",C,FMS.,EFIS.,ECAM.
5,147,What does EFIS mean?.,B,Electronic Fire Indication Signal,Electronic Flight Instrument System.,Electronic Flight Information System.
5,148,What does EICAS mean?.,B,Electronic indicator and control alerting system.,Engine indicating and Crew alerting system.,Electronic indicator and crew alerting system.
5,149,What does ECAM mean?.,C,Engine Centralised Aircraft Management System.,Engine Centralised Aircraft Monitoring System.,Electronic Centralised Aircraft Monitoring System.
5,4,The couting system using a base of two is called .........,A,the binary system,the decimal system,the octal system
5,5,Eight bits consists of how many nibbles?,B,1,2,3
5,6,LSB means ................,C,Lowest Significant Bit,Lowest Start Bit,Least Significant Bit
5,7,What is the MSB?,B,Most Start Bit,Most Significant Bit,Mathematical Start Bit
5,8,The binary - type elements are connected together to count to the base of called a ................,A,binary coded decimal,octal coded decimal,hexadecimal coded decimal
5,9,(28)10 = (?)2,A,(11100)2,(10100)2,(1111)2
5,10,(10111)2 = (?)10,B,18,23,20
5,11,(273)10 = (?)8,C,(326)8,(452)8,(421)8
5,12,(146)8 = (?)10,A,(72)10,(34)10,(56)10
5,13,(64702)8 = (?)2,B,(010011001011)2,(110100111000010)2,(1011001001110)2
5,14,(B28)16 = (?)10,C,(210)10,(214)10,(216)10
5,15,(1011001110101001)2 = (?)16,A,(B3A9)16,(B1A9)16,(C2A9)16
5,16,(B2A3D)16 = (?)2,A,(10110010101000111101)2,(10000111010101111011)2,(01101011000110000101)2
5,17,(10010101111)2 = (?)8,C,(1257)8,(2357)8,(2257)8
5,18,(478)10 = (?)16,B,(EC2)16,(ED1)16,(BD4)16
5,150,Convert 011101 Base2 to octal.,B,25,35,33
5,151,The binary number 11010111 expressed as a decimal is.,A,215,223,207
5,152,The octal number 1001 expressed as a decimal is.,C,9,65,513
5,153,What is 345 in binary?.,B,100111001,101011001,110011001
5,154,What is hex 110 in decimal?.,B,282,272,32
