Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
2,536,Select the correct one,C,Ionic bonds are the bonds between the same elements,Every elements can make metallic bonds,The smallest particles of ionic bonds are molecules
2,1,An atom with 3 free electrons in its outer shell is said to be.,C,pentavalent.,covalent.,trivalent.
2,2,What is the mass number of an element?.,B,Number of electrons and protons., Number of neutrons and protons.,Number of electrons and neutrons.
2,3,What do you get when you add 2H2 and O?.,B,H2 O.,2H2 O.,2H2 O2 .
2,4,The splitting of a chemical compound is called.,C,bombardment.,synthesis.,analysis.
2,5, What is the atomic number of an element?.,C,The number of neutrons in the atom.,The number of electrons in the atom.,The number of protons in the atom.
2,6,An atom with 5 free electrons is said to be.,C,pentavalet.,covalent.,trivalent.
2,7,An atom consists of.,A,"protons, neutron and electrons.",protons and electrons.,protons and neutrons.
2,8,The maximum number of electrons in the inner shell of an atom is.,B,8,2,4
2,9,The mass of a proton equals the mass of a.,A,neutron.,beta particle.,electron.
2,10,Catalysts.,A,speed up reactions.,speed up and slow down reactions.,slow down reactions.
2,11, If the outer shell of an atom is full the the element is.,C,unstable / reactive,a good conductor.,practically inert.
2,12,Molecules of the same compound are held together by.,A,cohesive forces.,adhesive forces.,gravitational forces.
2,13,Oxygen has a valency of.,A,2,6,8
2,14,The further from the nucleus the shells are in an atom.,B,the shells retain the same spacing from each other., the closer the shells get to each other.,the further the shells get from each other.
2,15,What determines an element's identity?.,C,The number of neutrons.,The number of electrons.,The number of protons.
2,16,An isotope of an element will have more/less _________ than usual.,B,electrons.,neutrons.,protons.
2,17,The smallest part of an element is.,B,a compound.,an atom.,a molecule.
2,18,The nucleus of an atom contains.,B,protons and electrons.,protons and neutrons.,electrons and neutrons.
2,19,What is atomic mass?.,B,Number of neutrons.,Number of protons plus the number of neutrons.,Number of protons.
2,20,A solid melted into a liquid will take up.,A,less space.,the same amount of space.,more space.
2,21,What form of heat is used to turn a solid into a liquid?.,C,specific heat.,coefficient of heat.,heat of fusion.
2,22,Change from solid to gas state without going through liquid state is called.,B,transformation.,sublimation.,state leap.
2,23,What is the smallest particle of matter that can exist in nature?.,C,A molecule.,An isotope.,An atom.
2,24,A positive ion.,B,has extra electrons.,has missing electrons.,is a radioactive isotope.
2,25,The isotope of a carbon atom C14 to C12 will have.,B,same numbers of neutrons.,same numbers of protons.,same number of electrons.
2,26,"If an atom has 2 protons, how many electrons will it have?.",C,1,8,2
2,27,A molecule with like atoms is said to be a.,C,neutroid.,compound.,element.
2,28, Two elements in the same substance is said to be a.,C,mixture.,element.,compound.
2,29,The number of protons in an atom is equal to the number of.,A,electrons.,neutrons.,mass number.
2,30,The charge of an electron is.,B,neutral.,negative.,positive.
2,31,A valance electron is an electron.,B,in the innermost shell.,in the outermost shell.,which is not within an atom.
2,32,Molecules of unlike atoms are combined by their.,A,adhesive force.,magnetic force.,cohesive force.
2,33,"What is the difference between hydrogen, deuterium and tritium?.",C,The number of electrons,The number of protons.,The number of neutrons.
2,34,The smallest material in the universe is.,C,an ion.,helium.,hydrogen.
2,35,What is the atomic number of the element shown here?.,B,7,3,4
2,36,What is the mass number of the element shown here?.,B,4,5,9
2,37,"There are solids, liquids and gases present in the universe and every unit of theirs occupy some space. This is called.",A,matter.,compound., mass.
2,38,An atom deficient of a valency electron is deficient.,A,of an electron in the outer shell.,of a neutron in the outer shell.,of an electron in the inner shell.
2,39,The maximum number of electrons in the second shell is.,B,4,8,2
2,40,What does an oxygen atom consist of?.,A,"Protons, neutrons and electrons.",Protons and electrons.,Protons and neutrons.
2,41,Surface molecular attraction between two different molecules is.,A,adhesive.,gravitational.,cohesive.
2,42,The atomic mass number is the number of.,C,protons plus electrons.,neutrons plus electrons., protons plus neutrons.
2,43,A catalyst in a chemical reaction does what?.,B,Can either speed it up or slow it down.,Speeds it up.,Slows it down.
2,44,What is the number of electrons in the inner-most shell of an atom?.,C,4,8,2
2,45,What form of heat is used to turn a solid into a gas?.,C,Sensible heat.,Specific heat,Latent heat.
2,46,The heat required to change a liquid to a gas at constant temperature is the heat of.,C,fusion.,condensation.,vaporisation.
2,47, An atom with a full outer shell is.,A,practically inert.,a good insulator., a good conductor.
2,48,An element with a full valence shell is.,C,very reactive.,good conductor., inert.
2,49,A substance of two or more different atoms is.,C, a neutrino.,an isotope,a chemical compound.
2,50,An atom with 5 electrons in its outer shell is.,A,trivalent.,pentavelent.,covalent.
2,51,Protons have.,B,no charge.,positive charge.,negative charge.
2,52, Producing a compound from commonly available materials is.,A, synthesis.,analysis.,bombardment.
2,53,A different number of nucleons in the nucleus of atoms would represent.,B,semiconductor.,isotopes., isotones.
2,54,Molecules of matter are in constant motion. The amount of vibration or motion is dependent on.,A,temperature.,volume.,pressure.
2,55,"When a chemical change takes place, the smallest particle indivisible in an element is called.",A,an atom., an electron.,a neutron.
2,56,A nucleus of an atom consists of.,A,positively charged particles,a nucleus and normally has no overall charge at all and so is neutral.,negatively charged particles.
2,57,A compound is a.,A,mixture of more than one element which are chemically bonded together.,solution (either liquid or solid) of elements or mixtures of elements to form a new material.,mixture of more than one element which are mixed together.
2,58,A compound such as water can exist in how many states?.,B,2,3,1
2,59,Select the correct statement from the following.,B,Temperature is the only factor which can affect the state in which matter exists.,Matter can only exist in one of three states.,As temperature rises a solid will always become a liquid and then a gas.
2,60, Isotopes of an element have.,C,a different atomic number.,the same number of neutrons but a different number of protons.,the same number of protons but a different number of neutrons.
2,61,Neutrons have.,A,no charge.,a positive charge.,a negative charge.
2,62,Atomic MASS number is the number of.,B,protons.,protons and neutrons.,electrons.
2,63, How many electrons does an `S` orbital hold?.,C,6,8,2
2,64,The number of electrons in a stable atom equals.,C,the number of neutrons in the nucleus.,the number of protons and neutrons in the nucleus.,the number of protons in the nucleus.
2,65,An isotope of an element has.,A,the same atomic number but a different mass number., the same mass number but a different atomic number.,a different mass and atomic number.
2,66,The mass number of an element is based on.,A, the total number of protons and neutrons in its nucleus.,the number of protons in its nucleus.,the number of neutrons in its nucleus.
2,67,The atomic weight of all atoms is related to.,B,Hydrogen.,Carbon.,Helium.
2,68,The chemical bonding of two or more elements is called.,B,chemical analysis.,chemical synthesis.,chemical fusion.
2,69,Two or more elements that are chemically bonded together and have an even mass distribution form a.,C, mixture,substance.,chemical compound.
2,70,An atom that gains one or more additional electrons is called.,A,a negative ion.,a positive ion.,an isotope.
2,71,Ionic bonding involves.,C,electron sharing.,attraction to a free electron cloud.,electron transfer.
2,72,Non-metals form.,A,covalent bonds.,ionic bond.,metallic bonds.
2,73,Brownian Movement describes.,C,Brownian Movement describes.,the attraction of electrons.,the motion of molecules.
2,74,Elements on the extreme right of the periodic table are.,B, Metals,Non-metals.,Transition metals.
2,75,"Oxygen, atomic number 8 is.",C,trivalent.,univalent.,bivalent.
2,76,The atomic number of the atom of an element is based on.,B,the number of neutrons in to nucleus.,the number of protons in its nucleus., the total number of protons and neutrons in its nucleus.
2,77,Water is.,C,an element.,a mixture.,a compound.
2,78,The Mass of a Proton is approximately.,C,equal to the mass of an electron.,equal to the relative mass of a molecule.,2000 times greater than the mass of an electron.
2,79,Noble gases are _______ and _______ and have a full outer shell of electrons.,C,fluorine and neon.,sulphur and neon.,"helium, neon, argon."
2,80,If a hydrogen atom has 2 neutrons and 1 proton what kind of water would you get?. ,B,Fresh water.,Heavy water.,Salt water.
2,81,A majority of an atom's mass is in the.,C,compound., isotope.,nucleus.
2,487,Which is correct for the volume of solids and liquids?,A,When the heat is applied the volume of solids and liquids get a little bigger,When the heat is applied the volume of solids and liquids get smaller,When the heat is applied the volume of solids and liquids is constant
2,488,What is the other name of isothermal process?,B,Constant pressure,Constant temperature,Constant volume
2,490,"In an isobaric process following values are given:
V=10 litre
T=20°C
P=3 bar
What are the new values of variables if the new temperature 40°C?",C,"V = 20 l
P = 3 bar","V= 10 l
P= 6 bar","V= 10.68 l
P= 3bar"
2,491,Which is the following is correct about the arrangement of particles in a substance?,C,The arrangement of particles in gases are regular,The arrangement of particles in solids are irregular,The arrangement of particles in solids are regular
2,492,What is the relationship between gas pressure and gas volume?,B,Gas pressure increases by decreasing gas volume in the same proportion and temperature will also decrease,When the temperature is constant the gas pressure increases by decreasing gas volume and vice versa,When the temperature is constant the gas pressure increases by increasing gas volume
2,493,Which statement is correct?,C,Solids are compressible,Gases are incompressible,Liquids are incompressible
2,494,In which physical state have a buoyant force?,B,Gas,Liquid,Solid
2,495,What is the role of a generator?,B,A generator transforms electrical energy in mechanical energy and heat energy,A generator transforms mechanical energy in electrical energy and heat energy,A generator transforms mechanical energy and heat energy in electrical energy
2,496,What is the equivalent formula for power in a rotary system?,A,P=F*r*w,P=m*w²*r,P= m*w*r
2,509,What is the simplest atom with respect to the number of protons?,B,C,H,He
2,510,An atom is given with the proton number of 15 and an atomic weight of 29. How many neutrons are in the core?,B,12,14,16
2,511,An atom has an atomic number of 11 and an electron number of 10. Which of the following is wrong?,A,It is a negative ion since the negatively charged particles are more than positively charged particles,It has 2 electrons on K shell and 8 electrons on L shell,It has a neutron number of 11
2,567,Which chemical bond is only possible between atoms of different elements?,B,Atomic bond,Ionic bond,Metallic bond
2,568,The atomic number is number of,C,Electrons,Neutrons,Protons
2,569,An atomic bond of atoms are only possible between?,B,Atoms of different elements,Atoms of the same elements,Different metal atoms
2,570,Which of the following statement regarding the free body diagram is correct?,B,A sketch that includes the geometrical details is always drawn to a free body diagram,The free body diagram must be drawn true-to-scale,The free body diagram must not necessarily be drawn
2,600,Atomic weight is the total weight of…,B,Protons and electrons,Protons and neutrons,Neutrons and electrons
2,601,What are the physical states of a matter?,A,"Solid, liquid and gaseous","Magnetism, rigidity, conductivity","Boiling, fusion, condense"
2,602,"How is an atom called, which has given up electrons?",B,Negative ion,Positive ion,Neutral atom
2,603,Valence electrons are…,A,The electrons in the outermost shell of an atom,The electrons in the innermost shell of an atom,The electrons which has been given from relatively iner shell to outer shell
2,604,How are the elements classified in periodic table?,A,According to the number of electron shell and that of valence electrons,Depending on the physical state from solid to gaseous,According to the years when the elements were found
2,605,What kind of bonding exist between hydrogen and oxygen atoms of water?,C,Ionic bond,Metalic bond,Atomic bond
2,606,An atom is given with a number of 1 proton and 2 electrons. Which can be correct for this atom?,C,It can not make a bond with a Hydrogen atom when it is neutral,It has less negatively charged than positively charged particles,It is called the simplest atom when it is neutral
2,607,How many electrons exist in the L shell of an atom which has a number of shells more than 2?,B,2,8,18
2,608,The smallest particles of chemical compound produced from chemical elements are named as…,A,Molecules,Ions,Atoms
2,609,An atomic bond is the bond between…,A,The atoms of the same elements,The atoms of different elements,Metal atoms
2,610,The bond between the atoms of different elements is…,B,Atomic bond,Ionic bond,Metallic bond
2,611,Which of the following is correct for the physical state of matter?,A,The molecules of liquid and solid are not far enough apart to make compressing possible,When heat energy is added to a matter the molecular movement decreases,Gases have a definite volume and shape
2,612,Which of the following is incorrect for the physical state of matter?,C,The degree of motion of atoms or molecules in a matter determines the physical state of matter,Molecules of a substance exhibits the physical and chemical properties of the substance,Change of physical state of a material is not reversible
2,613,Which is the symbolic formula of weight?,A,W=F=m.g,W=F.d=m.g.d,W=F=m/g
2,614,What is the equivalent of Newton as the unit of force?,C,1N=1kg,1N=1kg.m/s,1N=1kg.m/s²
2,615,Which is correct for center of gravity?,B,The source of the gravitational force applied to an object,The point through which an object behaves as if whole weight was a single force acting,Center of the earth from which force is applied to all objects
2,616,Which definition is correct for density term?,A,Density is the ratio of mass to volume,Density is the sum of mass and volume,Density is the ratio of volume to mass
2,617,The unit of the density in SI system is…,B,Kg.m²,Kg/m³,Kg/m²
2,618,What is the relation between specific volume and density?,B,The more specific volume the more density,The inverse of the density is specific volume,"When the density decreases, specific volume also decreases"
2,619,What is the unit of pressure in SI system?,A,Pascal,Newton,Joule
2,620,What is the SI unit equivalent of pressure?,B,1 Joule = W = F.d = N.m,1 Pa =1 N/m² = 1 kg(m.s²),1 N = m.g = 1 kg.m/s²
2,82,An insulator has its electrons.,A, tightly bound.,loosely bound.,otally free from the atoms.
2,83,"The centre of gravity of an aircraft is adjusted by two weights, 10 kg and 5 ckg plaed 4m and 2 m aft of the c of g. To what position must a 20 kg weight be added to balance the c of g?.",A,2.5m.,4m.,2m.
2,84,"For the CGS system, the force is.",B,the 'N' which produces an acceration of 1 cm/s2 for a mass of gram.,the 'dyne' which produces an acceleration of 1cm/s2 for a mass of gram.,the 'pd1' which produces an acceleration of 1 cm/s2 for a mass of gram.
2,85,The quadrature component of a vector is.,B,45° to the original.,90° to the original.,180° to the original.
2,86,1 Newton is equal to.,A,1 kilogram meter per second per second.,1 kilogram of force.,1 joule per second.
