Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
14,47,A sensing element goes open circuit in a ratio meter. What will be happen?,B,Temperature indicates below ambient,Full scale deflection,Hairspring takes indicator off scale
14,48,A thermocouple is constructed of,A,two dissimilar metals welded together,two dissimilar metals with an air gap between them,three dissimilar metals welded together
14,49,A thermocouple indication is taken from the,B,hot junction,cold junction,difference between the hot junction and the cold junction
14,50,"On a twin spool engine, the HP compressor is driven by",B,ram air over the compressor,early stages of the turbine,later stages of the turbine
14,51,"In a multiple probe thermocouple system, what is the effect if one probe fails?",A,No noticeable effect,Reduction in temp reading,Increase in temp reading
14,52,In a gas turbine if air is tapped from the H.P bleed,A,EPR decreases and EGT increases,EPR stays constant and EGT decreases,EPR increases and EGT decreases
14,53,The vane on a vane type fuel flow measuring device becomes stuck. What safety backup is available for the engine fuel flow?,C,A fuel bleed valve,A bypass valve,A differential pressure bypass valve
14,54,"In a FADEC engine with a hydro mechanical fuel system, how is fuel flow controlled?",B,By fuel pressure,By electro-hydraulic servo valves (EHSVs),By oil hydraulics
14,55,In the HEIU the discharge resistors,C,"allows sufficient voltage to be stored to provide relight facilities up to 55,000 ft.",protects the unit from excessive voltages.,allows the capacitors to discharge when the unit is switched off.
14,56,A modular constructed gas turbine engine means that,A,its major assemblies can be removed and replaced,all engines have a specific component layout,the engine is constructed by the vertical assembly technique
14,57,The purpose of a high bypass ducted fan engine is to,A,improve efficiency,improve thrust,reduce size
14,58,When using a test set to test an EGT thermocouple circuit,A,Spring sealed bellows,Two bellows against atmospheric pressure,There is no compensation
14,59,An EMF is produced by a thermocouple. This is sensed,B,at the hot junction,at the cold junction,between the hot and cold junctions
14,60,Supervisory EEC sends its output to the,B,fuel valve,HMU/FFG,EGT thermocouple circuit
14,61,Ratiometer pointer movement is achieved by,C,fuel valve,HMU/FFG,EGT thermocouple circuit
14,62,A fuel flow transmitter requires a motor or a synchronous motor to have a,B,constant voltage within small tolerances,constant frequency within small tolerances,low EMF as it is immersed in fuel
14,63,A boost gauge measures,A,absolute pressure on the inlet port,brake mean effective pressure,gauge pressure at the injector
14,64,"On a thermocouple circuit on a non FADEC engine, what is the purpose of the ballast resistor?",B,To compensate for ambient temperatures,To standardise both engine's EGT readings,To compensate for altitude
14,65,Boost pressure is measured in,A,inches of Hg,inches of water,PSI
14,66,Power is adjusted in a gas turbine engine by,C,increasing airflow to the combustion chamber,increasing air and fuel flow,increasing fuel flow
14,67,The EPR reading is taken from a ratio of,A,jet pipe pressure to compressor inlet pressure,compressor delivery pressure to compressor inlet pressure,turbine inlet pressure to compressor delivery pressure
