Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
10,26,How can a license holder be a certifying staff or B1 and B2 support staff?,A,The organisation itself can authorize according to the relevant procedures,By NAA,By EASA
10,27,What kind of license is minimum requirement to issue a CRS in line maintenance?,A,Cat A,Cat B1,Cat C
10,28,Which type of license may authomatically include Cat A license?,A,Cat B1,Cat B2,Cat C
10,29,Which of the following is not a requirement for a license holder?,C,"The holder must be able to read, write and communicate in an understandable level in the language in which the documentations and procedures are written",The holder must have completed six months of maintenance experience in accordance with the privileges granted by the AML preceding a two year period,The holder of an AML can exercise certification privileges even if these are not in compliance with the applicable requirements of Part M and/or Part 145
10,30,Basic knowledge examinations shall be carried out by…,A,The Part 147 training organization or the competent authority,Any training organization approved by the ministry of education,The Part 145 organization to select its own staff
10,31,Why must a license holder submit the license to the competent authority for each five year?,B,To prove that he/she is a perfect staff,To verify that the informations in the license are the same as that contained in the competent authority’s records,To prove the technical qualification for last 5 years
10,32,Which of the following can not cause limitation/suspension/revocation of an AML?,B,Negligent maintenance,Satisfactory performance,İssuinga CRS while not in compliance with this Part
10,33,Which is correct for Cat B3 license?,C,The holder is called as Base Maintenance Certifying Engineer,"It is about turbine engine aeroplanes, MTOW is above 5.700 kg","It is about non-pressurised aeroplanes with piston engine, MTOW is 2.000 kg"
10,34,How is a Cat B1 certifying staff named?,B,Line Maintenance Certifying Mechanic,Maintenance Certiftying Technician(Mechanic),Base Maintenance Certifying Engineer
10,35,Which of the following forms is need to apply for an AML?,A,Form 19.1 and 19.2,Form 4 and Form 52,Form 52 and Form 53
10,36,How long experience is normally required to extend a Cat B1.1 license to Cat B2?,A,1 year,3 years,5 years
10,37,How long experience is required to get a Cat C license if the applicant has an academic degree?,B,5 years experience after Cat B1.1 is gained,3 years experience,2 years experience
10,38,Which authority is the competent authority of a Part 145 organization whose principal place of business is located in a third country which is not an EASA member state?,C,NAA,Any authority which is in an EASA member state,EASA
10,39,For component maintenance…,A,Maintenance workshops are required which are large enough to accommodate components and tools,Aircraft hangars are required which are large enough to accommodate aircraft for planned,"An Office is enough to manage, plan and perform the maintenance"
10,40,What does the abbreviation AD stand for?,A,Airworthiness Directive,Attitude Display,Avionic Database
10,41,CRS can only be issued by…,C,Quality Manager,Competent Authority,Appropriately authorised certifying staff
10,42,For how long is it permissible to fit a component without the appropriate CRS?,A,Max. 30 flight hours,Unlimited duration,Max. 1 day
10,43,Why shall a maintenance organization record all details of the maintenance work carried out?,B,To use the records for further maintenance as an exemplary document,To prove that all requirements have been met,To use the records for training purposes
10,44,Whom is not required to report an occurence effecting seriously flight safety?,B,The competent authority,Part 21G,Part 21J
10,45,Within how many hours must an occurence seriously effecting flight safety be reported?,A,72 hours,48 hours,24 hours
10,46,For how long is the approval of a maintenance organization issued?,C,For 1 year,For 2 years,Unlimited duration
10,47,Which type of aircraft is described by the Rating A3?,B,Aeroplanes above 5.700 kg,Helicopters,Aeroplanes below 5.700 kg
10,48,Which type of engine is described by the Rating B3?,C,Turbine,Piston,APU
10,49,What is defined by EU-OPS 1?,A,The requirements to be met by operators for commercial air transport,The requirements to be met by competent authoriy against organizations,It defines the optional maintenance activities can be done by EASA Part 145 MO
10,50,What does the abbreviation C.A.T. stand for?,C,Continuous Aviation Trainings,Continental Air Transportation,Commercial Air Transport
10,51,What does the abbreviation MEL stand for?,A,Minimum Equipment List,Master Equipment List,Major Equipment List
10,52,MEL is established by…,B,Competent authority,Operator,Design Organisation
10,53,MEL must be approved and accepted by…,A,Competent authority,Operator,Part 21G
10,54,Which of the following is incorrect?,A,MEL is less restrictive than MMEL,MEL shows the equipment which must be installed and operable for the aircraft to be considered airworthy,MMEL gives more detailed information than MEL does
10,55,Which of the following doesnt need to be retained on Ground?,C,Mass and balance documentation,Special load notification,Current maps and charts
10,56,What is the time interval of weighing an aircraft if fleet masses are used?,C,4 years,5 years,9 years
10,57,How long time after does an airworthiness rewiev has to be performed to receive ARC?,A,12 months,24 months,72 months
10,58,"A notification to aircraft owners and operators of a known safety deficiency with a particular model of aircraft, engine, avionics or other systems is called…",C,Type certification,Airworthiness Rewiev Certificate,Airworthiness Directive
10,59,Which is correct for Servise Bulletins?,A,They are authomatically sent to the aircraft owner by the aircraft or component manufacturer,SBs are issued by civil aviation regulatory authorities,Compliance with a SB is required under the Agency
10,60,The airworthiness rewiev certificate can be issued by,B,Cat B1 license holder,CAMO which is approved by NAA,The production organisation after the aircraft purchased by customer
10,61,A new component taken from the store can be identified by,C,The amber tag,Part number,EASA Form 1 or Certificate of Conformity
10,62,Who authorizes certifying personel in PO?,A,Organization itself acording to the procedures,EASA,NAA
10,63,What is the certification specification relevant to the aeroplanes above 5.700 kg?,B,AP 25,CS 25,CS 29
10,64,In which case must a CAMO be a part of the operator?,A,Commercial operation,Non commercial operation,Ground operation
10,65,Which part is covered in Part M Subpart C?,B,CAMO,Continuing Airworthiness,Maintenance Organization
10,66,Which area of EASA Form 1 is signed for repaired parts?,B,Left hand on the upper corner,Right hand on the lower corner,Left hand on the lower corner
10,67,The procedures in Maintenance Organization Exposition are for…,C,Quality manager,Accountable manager,Every employee
10,68,Which organization(s) can maintain a C.A.T aircraft?,B,Part M Subpart F,Part 145,Part M Subpart F and Part 145
10,69,Which organization(s) maintain a non-C.A.T aircraft?,C,Part M Subpart F,Part 145,Part M Subpart F and Part 145
10,70,Which EASA part contains the type certification of large aircrafts?,B,Part 147,Part 21,Part 145
10,71,Who is TC Holder?,A,DO,PO,MO
10,72,Production of aircrafts is under the responsibility of…,A,Part 21 G,Part 21 J,Part 147
10,73,Who can not issue an approbed data?,C,Agency,Design Organization,Production Organization
10,74,The rating A2 is for,B,Aircrafts whose MTOW is above 5.700 kg,Aircrafts whose MTOW is below 5.700 kg,Helicopters
10,75,Who is responsible to issue company authorization in Part 145 MO?,B,Accountable manager,Quality manager,Technical manager
10,76,How is the maintenance officially put into force?,A,"By directive EC, OJ, L315",By EASA,By maintenance organization
10,77,Which authority can certify a production organisation in an EU member country?,B,EASA,NAA,Production organization itself
10,78,Which authority can certify a design organization?,A,EASA,NAA,Design organization itself
10,79,Which organizations need certifying staff?,B,PO and DO,MO and PO,DO and MO
10,80,What does the abbreviation AMC stand for?,A,Acceptable means of compliance,Advanced maintenance control,Aircraft maintenance coordinator
10,81,Which AML is needed at minimum to release LRU’s?,A,Cat A,Cat B1,Cat C
10,82,Which form does an operator need to keep original airworthines certificate valid?,C,EASA Form 19.1 and Form 19.2,EASA Form 52 and Form 53,EASA Form 15a and 15b
10,83,Weighing of an individual aircraft is done every..,A,4 year,5 year,9 year
10,84,Weighing of an aircraft under C.A.T is defined in…,B,Part 21,EU-OPS,Part 145
10,85,Which regulations require a quality system?,A,"Part 21 J, Part 21 G, Part M, Part 145","Part 21J, Part 21G, Part 66, Part 145","Part 21G, Part M, Part 66, Part 145"
10,86,What does an EASA Form 53 certify for new aircrafts?,B,Conformity of new aircraft with the type,Competent authority has released the aircraft,Certify that all checks done
10,87,How long must technical log system be kept?,A,Minimum 36 months after last entry,"No need to be kept, reporting by speech is enough",Minimum 36 days after last entry
10,88,What must be entered in status box of Form 1 if the new component has not been certified?,C,Modified,Manufactured,Prototype
10,89,Which part in Form 1 is only for maintenance organisation?,B,Field 11 status,Field 14a-e,Field 8
10,90,MEL is established by….. and approved by….,C,"Operator, quality manager","DO, agency","Operator, authority"
10,91,Which part is related with mass and balance?,A,EU-OPS Subpart J,EU-OPS Subpart G,EU-OPS General
10,92,What documents have to be carried out on board of an passenger aircraft?,B,"Airworthiness review certificate EASA Form 15, CRS Form 53, Form 19","Certificate of registration, airworthiness review certificate EASA Form 15, liability insurance certificate","Noise certificate, air radio license, Form 19"
10,93,the abbreviation MMEL stands for,B,minor master error list,master minimum equipment list,master management equipment list
10,94,which documents define whether an aircraft can fly with certain defecets or not?,A,MEL,SRM,AMM
10,95,"the revocation, suspension or limitation of an AML is defined in:",B,part 66 section A,part 66 section B,part 145 section B
10,96,which of the following is three organization within IR 2042?,B,"Design organisation, production organization, maintenance organization","Maintenance organization, CAMO, maintenance training organization","Design organization, production organization, development organization"
10,97,Which of the following shows the organizations within IR 1702?,A,"Design organization, production organization","Maintenance organization, Part M Subpart F","Maintenance Organization, Maintenance Training Organization"
10,98,How can a certifying staff be authorised for component maintenance?,A,According to national regulations,By EASA,According to company rules
10,99,Which of the following defines ‘large aircrafts’?,B,The aircrafts which have more than 100 seats,"The aeroplane with a MTOW of more than 5.700 kg, or a multi engined helicopter",The aeroplane with MTOW of less than 5.700 kg or a single engined helicopters
10,100,Which data is used for structural repairs?,C,AMM,IPC,SRM
10,101,With which range is the classification of components represented?,C,CS1-CS20,K1-K20,C1-C20
