Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
6,9,What is the meaning of Annealing?,B,Annealing is a thermal treatment below the re-crystallisation temperature,Annealing is carried out to bring work-hardened metals to their softsest condition,Annealing is another term of thermal treatment of heat-treatable alloys
6,250,Adhesive process is twoparted.Theseare ...,A,Wettingandsetting,Spreadingandsetting,Wettingandgripping
6,622,Which of the following is susceptible to the ingress of moisture?.,C,Glass fibre.,Carbon fibre.,Kevlar
6,681,With what would you check the bonded joints of a wooden aircraft structure?.,A,A feeler gauge.,A plastic strip.,A screwdriver.
6,720,Fabrics may be fitted to airframe structures by.,C,always riveting.,wood nails.,tying on with string.
6,765,What is used to slow the drying time of some dope finishes to prevent blush?.,C,Rejuvenator.,Reducer,Retarder.
6,766,Aluminium-pigment in dope is used primarily to.,A,exclude sunlight from the fabric.,provide a silver colour.,aid in sealing out moisture from the fabric.
6,767,"From the following list of metals, which is most cathodic?.",C,Nickel,Magnesium.,Stainless steel.
6,768,Corrosion may be regarded as the destruction of metal by.,A,electrochemical action.,hydroelectric action.,electromechanical action.
6,769,Exfoliation corrosion is sometimes referred to as.,A,layer corrosion.,filiform corrosion.,sub-surface corrosion.
6,770,"When dissimilar metals are brought together, or the same metal in different states, one metal forms the anode and the other the cathode. Which will suffer from corrosion?.",C,Both will corrode equally.,The cathode.,The anode.
6,771,Which of these is a common cause of corrosion?.,B,Water in fuel.,Spilled battery acid.,Untreated metal.
6,772,Electrochemical reaction is caused by the contact of.,B,bonding,moisture on the surface of the metal,dissimilar metals.
6,773,Chemical attack is a direct result of.,B,intergranular corrosion.,cathodic & anodic changes in the material.,filiform corrosion.
6,774,"In the galvanic series, the most noble metal will, if joined to another metal.",C,always be at the top of the table.,corrode before the less noble metal.,allow the less noble metal to corrode first.
6,775,Stress corrosion is associated with.,C,cyclic loading and a corrosion pit.,a corrosion pit in a member under a compressive load.,a corrosion pit in a member under stress.
6,776,"In a poorly produced repair to skin structure, where would stress corrosion start?.",A,Radiate from the corner or sharp edges.,Along the edges of repair.,Form internally to produce surface corrosion.
6,777,Some metals are inherently stable. What does this suggest?.,A,They strongly resist corrosion.,They are highly prone to corrosion.,They try to revert to their natural state.
6,778,The oxide film formed on the surface of aluminium is.,A,non-porous.,porous.,hard and porous.
6,779,Corrosion control begins at the.,C,production stage.,manufacturing stage.,design stage.
6,780,Aluminium is.,B,not resistant to corrosion.,highly resistant to corrosion.,reasonably resistant to corrosion.
6,781,"When galvanic corrosion takes place, which part corrodes?.",A,Anode.,Oxide film coating.,Cathode
6,782,Corrosion caused by galvanic action is the result of.,A,contact between two unlike,excessive anodization.,excessive etching.
6,783,What sort of corrosion would a magneto be likely to encounter if completely enclosed?.,B,"None, providing the magneto is completely enclosed.",Direct chemical attack.,Pitting.
6,784,What are the signs of fretting corrosion?.,A,Black powder or cocoa staining.,Intergranular cracking.,Flaking.
6,785,Black streaks back from a rivet hole signify,C,galvanic corrosion.,intergrannular corrosion.,fretting.
6,786,Intergranular corrosion.,B,can be recognized by a grey powder deposit.,may have no visual surface indication.,can be recognized by its flaking and lifting of the material layers.
6,787,Active flux does what?.,B,Protects,Cleans.,Both cleans and protects.
6,788,Jointing compound is used for what reason?.,A,To prevent dissimilar metal corrosion.,To bond the components together.,To make the components easier to disassemble.
6,789,"After welding, stainless steel is susceptible to a corrosion known as.",B,weld deterioration.,weld decay.,weld rot.
6,790,The lifting or flaking of the metal at the surface due to delamination of grain boundaries caused by the pressure of corrosion is.,B,exfoliation.,electrolysis.,transgranulation.
6,791,The electrolytic process that forms an oxide film on the surface of aluminium alloys is known as.,B,galvanizing.,anodizing.,electroplating.
6,792,What is the indication of fretting corrosion on aluminium alloy?.,A,Black powder.,Brown powder.,White powder.
6,793,What action is taken to protect integral tanks from corrosion due to micro-biological growth?.,C,The inside of the tank is coated with yellow chromate.,Rubber liners are installed in the tank.,A biocidal additive is used in the fuel.
6,794,Intergrannular corrosion in structural aluminium alloy parts.,B,are not likely to occur in parts fabricated from heat-treated sheet aluminium.,"may be detected by the white, powdery deposit formed on the surface of the metal.",cannot always be detected by surface indications.
6,795,Magnesium alloy components are protected by.,A,an electro process.,a chemical process.,a painted process.
6,796,"If it is necessary to remove corrosion from a steel component in-situ, the base of a suitable solution for this purpose is.",B,chromic acid.,phosphoric acid.,nitric acid.
6,797,A type of protection which is applicable to magnesium alloys is the.,B,phosphate process.,chromating process.,coslettising process.
6,798,Heavy corrosion deposits on clad aluminium alloys should be removed.,C,mechanically using a pneumatic vibrator.,chemically by use of trichloroethylene.,chemically by use of phosphoric acid.
6,799,Anodic treatment of aluminium alloy gives.,C,a purple finish.,a shorter life due to hardening.,a pure coating of aluminium oxide on the surface.
6,800,Fretting corrosion occurs where.,A,two material are subject to very slight movement between the two.,a deep scratch increases to become fretting corrosion.,pitting corrosion is allowed to become more pronounced.
6,801,What is used to remove corrosion from magnesium?.,B,Phosphate acid solution.,Chromic acid solution.,Sulphuric acid solution.
6,802,Surface corrosion on stainless steel is identified by.,C,red rust.,white film.,black pitting.
6,803,"Hooks, wires and other suspension devices used in an anodic bath should be made of.",B,brass or copper.,aluminium or titanium.,steel or copper.
