Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
13,1,Flaps at landing position,C,decrease take off and landing speed,decrease take off speed,decrease landing speed
13,2,Lowering of the flaps,A,increases drag and lift,increases drag,increases lift
13,3,Pushing the left rudder pedal,A,yaws the aircraft left and possibly the right wing will rise,yaws the aircraft left and possibly the left wing will rise,yaws the aircraft left but has no effect on the wing
13,4,What preventative maintenance can be carried out in case of HIRF?,C,Check of aircraft structure,Bonding and insulation tests,Shielding of all sensitive equipment
13,5,What do ruddervators do?,A,Control pitch and yaw,Control pitch and roll,Control yaw and roll
13,6,On a helicopter what is dragging?,B,Movement of each blade vertically about their lateral hinges,Movement of each blade horizontally about their vertical hinge,Contact of the blade tips on the ground
13,7,What controls pitch and roll on a delta wing aircraft?,C,Elevators,Ailerons,Elevons
13,8,"If you add an aerial, to strengthen the airframe you add",A,an internal doubler,external doubler,an intercostals
13,9,What does a trim tab do?,A,Eases control loading for pilot,Allows the C of G to be outside the normal limit,Provides finer control movements by the pilot
13,10,How does a balance tab move?,C,In the same direction proportional to the control surface it is attached to,In the same direction a small amount,In the opposite direction proportional to the control surface it is attached to
13,11,Galley and cabin lighting operate on,C,DC bus,AC bus,GND services
13,12,Buffer amp on transmitter is between,B,modulator and power amp,local oscillator and modulator,local oscillator and demodulator
13,13,Aircraft is North of VOR beacon on a course of 090 RMI pointer points to,C,0,90,180
13,14,What frequency increases radar relative range,B,Long,Short,Radar relative range cannot be increased by frequency change
13,15,If radar pulse is reduced there is,C,increased relative range,reduced relative range,no effect
13,16,Adding 6 foot of cable to TX RX aerials on rad alt would give you,A,3 ft error,6ft error,12 foot error
13,17,Maximum power on a wave guide is governed by the,B,widest width,narrowest width,number of joints and bends
13,18,Which side of the pilot is the collective?,A,Left,Right,In-between legs
13,19,What effect does the ground have on a helicopter?,A,Increases lift,No effect,Increases thrust
13,20,What design factors govern RPM of a helicopter rotor?,A,Weight of blade,Engine and gearbox,Fineness ratio
13,21,Relative velocity of rotor,A,increases at fwd travelling blade,increases at retreating blade,is equal for all blades
13,22,When OAT increases what happens to an helicopter operating ceiling?,B,Increase,Decrease,No effect
13,23,How many satellites required for GNS?,B,8,4,6 90o apart
13,24,"If on a lead-acid battery, several cell checks of SG read consistently low. Battery needs",C,topping up with distilled water,replacing,recharging
13,25,What happens when battery master is switched off in flight?,A,Battery disconnected from charge circuit,No effect,Electrical systems shut down
13,26,A full operational autopilot system will ensure that,C,the automatic pilot will automatically disengage whenever any failure is detected,the automatic pilot will automatically cause the aircraft to overshoot if any failure is detected,the aircraft will continue its automatic landing in the event of a single failure
13,27,What is the 'Q' code for runway heading?,B,QDH,QDM,QDR
13,28,"during an automatic landing, the aircraft descent rate is sensed by",B,pitch rate gyros,radio altimeters,vertical accelerometers
13,29,"the aircraft decrabbing signal, used during autoland, originates from",C,roll errors,localiser deviation errors,heading errors
13,30,"An automatic throttle, engaged in the EPR mode, will control",C,the aircraft altitude to maintain constant engine input pressure,the engine throttles to maintain a constant acceleration rate,the engine throttles to maintain a constant engine power setting
