Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
7,13,Calibration intervals,," Calibration intervals must be determinedaccording to following criterias;	NULL	NULL_x000D_
7	NULL	14	        There are three types of calibration stickers	x	x	x	x	x	x	x	x	x	x	x	x	essay		1. The common type, giving information about;",73,19
7,15,Calibration schedule and list contains;,,"a. Name of equipment	NULL	NULL_x000D_
7	NULL	16	The procedures for calibration of equipment on site is as follows;	x	x	x	x	x	x	x	x	x	x	x	x	essay		1. Cancel the equipment in the monthly Schedule.",76,80
7,17,What are the three basic types of torque wrenches?,,"1. Cancel the equipment in the monthly Schedule.	NULL	NULL_x000D_
7	NULL	18	What are the three basic types of torque wrenches?	x	x	x	x	x	x	x	x	x	x	x	x	essay		1. Deflecting-beam type",72,40
7,20,Describe the use of torque wrench?,,"1. Torkmeter must be calibrated	NULL	NULL_x000D_
7	NULL	21	       Types of Capsule operated instruments errors:						x	x	x	x	x	x		essay		Hysteresis: Hysteresis is caused by elastic properties of capsule material. With this error there will be a lag in instrument readings at increasing and decreasing pressure input.",86,89
7,23,Basic requirements for a Technical Drawing are;,,"1. The drawing must reveal the ideas, concepts and intensions of the design engineer to the detail.	NULL	NULL_x000D_
7	NULL	25	
The types of  drawings used in aviation
						x	x	x	x	x	x		essay		1-Detail Drawing: All dimensions must be included and the material and finish of the part specified. It shows all details of a part. Usually used for manufacturing the parts.",92,27
7,26,What is ATA 100?     ,, ATA stands for ‘’Air Transport Assosiation of America’’,86,92
7,27,What does ATA 100 specify?,,"The ATA Specification 100 provides a standardised breakdown of civil aircraft manuals and documentation. It also forms the basis of a standardised breakdown of military aircraft documents with additional chapters.	NULL	NULL_x000D_
7	NULL	28	How is the structure of aircraft documentation in ATA 100?	x	x	x	x	x							x	essay		All aircraft documentation produced in accordance with the ATA-100  is to be arranged in:",47,27
7,29,How are the ‘’standart page number blocks’’ of the ATA 100 stuctured?,,"By the structure of the ATA-100, all subjects can be covered under 3 main topics: 	NULL	NULL_x000D_
7	NULL	31	            The structure of aircraft maintenance manual:						x	x	x	x	x			essay		                                                                                                                                                Aircraft maintenance manual produced in accordance with the ATA-100 is arranged in:",13,34
7,32,The structure of Illustrated Parts Catalogues:,,"Parts catalogues are published by manufacturers to assist the operator in the procurement of spares and other materials for servicing, maintenance and repair of the aircraft or its systems.	NULL	NULL_x000D_
7	NULL	33	What are basic quantities and their units?						x	x	x	x	x	x		essay		Basic quantities are Length, Mass, Time, Electric current, Thermodynamic temperature, Amount of substance and Luminous intensity.  The units for these quantities are as follows; metre/meter , kilogram, second, ampere, kelvin,  mole and candela.",4,14
7,34,What is the purpose of an aircraft zoning system?,,"Zoning system is necessary for maintenance planning, preparation of job instructions, location of work  areas and components, and for maintenance task.",8,84
7,35,What are the major main zones?,,"Major zones are;  Zone number     Location	NULL	NULL_x000D_
7	NULL	36	           What are the other drawing systems used for locations in aircrafts?	x	x	x	x	x							x	essay		The other systems which are used for locations on aircraft are aircraft zoning, stations, sections and coordinates.		_x000D_
7	NULL	37	Describe sheet fasteners:						x	x	x	x	x			essay		Sheet fasteners are commonly called ‘’CLECO’’. They are necessary to hold sheets together to prevent the gap between sheets during riveting.",67,80
7,38,How can a technician choose correct bucking bar?,,"The technician should choose a bucking bar of the proper weight and	NULL	NULL_x000D_
7	NULL	41	How do you adjust the  the edge margin?	x	x	x	x	x								essay		Before drilling holes for rivets the distance of 2 D (diameter) of hole diameter for protruded rivet and 2,5 D for countersunk rivet must be left from the edge of the sheet metal. Then holes are drilled in proper pitch which is at least 4 D.		_x000D_
7	NULL	43	What is dimpling?	x	x	x	x	x								essay		If the skin is too thin for countersinking, the edges of the hole may be formed to",28,98
7,44,What is team riveting?,,"	NULL	NULL_x000D_
7	NULL	45	What is direct and indirect riveting?						x	x	x	x	x			essay		Direct riveting means driven head of the rivet is formed by striking the shaft end.",80,62
7,47,Which information is indicated on the rivet repair set?,,"The upper left part designates the rivet part number and the material of which it is made.	NULL	NULL_x000D_
7	NULL	51	Flexible Control Cables						x	x	x	x	x			essay		There are three types of flexible control cables.",20,1
7,52,Cable wear tolerances for the different types of cables:,,"Flexible 7X7 wires may have up to three broken wires in a section of one inch in length is still usable unless a maximum of two on one strand. With more than three broken wires in total the cable must be replaced.	NULL	NULL_x000D_
7	NULL	53	Proof load test for the control cables:						x	x	x	x	x	x		essay		After installation of end fittings, the cable should be tested by loading it to 60 % of its breaking strength, with the load applied gradually and held for at least 3 min. This test is done with a manual test rig or hydraucally operated rig.",6,49
7,54,Measuring cable tension:,,"Each tansion meter has a scale for indication of the pressure applied. There is a  cable tension chart with each type of tension meter. These are the procedure for use of such a conversion chart:	NULL	NULL_x000D_
7	NULL	55	Screwed Joints of Metal Parts (Screw types  and their roles)	x	x	x	x	x								essay		In machine building, the screw is the most common means of union for detachable connections. Threaded fasteners serve to assemble, interconnect and hold all parts of a unit. There are mainly four types of screws for particular purposes:",21,64
7,56,Locking devices:,,"Locking devices are to preventing loosening and separation of a screwed connection under all operational and stress conditions. They are divided into two groups.	NULL	NULL_x000D_
7	NULL	57	Types of  Pin Connections:						x	x	x	x	x			essay		According to the purpose for which the pins are used, there are three groups of pins.",93,33
7,58,"Welding, Brazing, Soldering",,"Welding  refers to the process of joining metals by heating them to their melting temperature and causing the molten metal to flow together.	NULL	NULL_x000D_
7	NULL	59	Capillary effect						x	x	x	x	x			essay		If there is a slit between the two surfaces to be soldered ,  the solder is sucked into the slit after having reached the working temperature. The narrower the slit, the deeper the solder is soaked up.",53,40
7,60,"
Types of soldering
",,"Iron soldering (soft soldering) between 210 °C  and 450 °C	NULL	NULL_x000D_
7	NULL	61	What is corrosion?	x	x	x	x	x	x	x	x	x	x	x	x	essay		Corrosion is the chemical or electrochemical deterioration of any material, i.e. the slow wearing-away of solids (especially metals) by chemical attack.",82,86
7,62,List the types of Electrochemical Corrosion.,,"Surface Corrosion: This is a general roughening or pitting of the metal surface accompanied by a powdery deposit of corrosion products. It may be caused by direct chemical or electrochemical attack	NULL	NULL_x000D_
7	NULL	64	Weight and Balance Problems						x	x	x	x	x	x		essay		             When the center of gravity (CG) falls outside of the limits allowed by the aircraft designer, serious control problems will ocur. Weight and Balance Problems are in three categories.",66,68
7,66,What is Center of Gravity?,,"	NULL	NULL_x000D_
7	NULL	68	
Aircraft refuelling and defuelling
	x	x	x	x	x	x	x	x	x	x	x	x	essay		There are two methods of aircraft refuelling;",55,37
7,69,Static Electricity during refuelling and defuelling,,"Static charge can be built up by fluid flowing through a pipe or hose during refuelling. When re/defuelling, care must be taken to prevent static electricity and danger of a spark. To do this four point bonding must be applied.",99,89
7,70,Four point bonding during re/de fuelling,,"	NULL	NULL_x000D_
7	NULL	72	De-icing	x	x	x	x	x	x	x	x	x	x	x	x	essay		De-icing involves spreading or spraying a liquid or solid de-icing agent on already formed ice and collected snow. This application lowers the freezing point of the snow/ice so that it becomes a liquid rather than remaining a solid.",43,8
7,73,Anti-icing,,"Anti-icing involves spraying or spreading a liquid or solid de-icing agent directly on the pavement or aircraft before snow or ice is present, thus lowering the freezing point at which snow/ice bond to the pavement.",63,89
7,76,Visual Inspection,,"The most fundamental method  of inspecting aircraft structures and components is visual inspection. This method is unique in certain circumstances and limited in others. For this method the material should be uncovered and visisible.	NULL	NULL_x000D_
7	NULL	77	Damage categories	x	x	x	x	x	x	x	x	x	x	x	x	essay		1. Repairable damage",13,87
