Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
9,26,"According to Pareto Pricnciple, what can be said?",C,80% of the working time is spent for 80% of the required result,20% of the working time is spent for 20% of the required result,80% of the time is spent for 20% of the required result
9,27,Which can be led by fatigue?,A,It may cause microsleeps and loss of concentration,An efficient work causes fatigue and it is the only way to gain a good experience,It is able to continue functioning normal abilities due to an increased level of effort
9,28,Which is not true for the types of sleep?,C,REM sleep is characterised by loss of skeletal muscle tone and sympathetic nervous system,NREM sleep is characterised by parasympathetic nervous system,"During REM sleep, the body gets ready for tension and reflection"
9,29,Which is true for working times?,C,Working between 02:00 and 04:00 increases performance because the body is ready for wake-up,Working time between 12:00 and 16:00 is the most ideal one,Highest probability to make mistake is between 02:00 and 04:00
9,30,"Which is less effective comparing the others, as the cause of the sleep disorders or short period sleeps?",C,Change between day and night shift,Less sleep during day time,High responsibility in working area
9,31,What is the measurement unit of light intensity?,B,LX,LUX,LAMP
9,32,What is the lighting requirement in aircraft maintenance?,B,It is desireable to use illumination as much as possible,For a particular task there may be a spesific illumination interval,"According to the procedures, it is not allowed to perform maintenance except that at daylight"
9,33,Which is true for the temperature in working area?,A,Increasing temperature out of the ideal range will lead to an increase in the error rate,The higher temperature the less rest needed,Temperature must be Standard for any task and doesnt vary with work load
9,34,What are the elements of communication in addition to the language?,A,"Gesture, facial expression, posture","Subconscious mind, gesture, speach","Speach, gesture, posture"
9,35,What does visual management mean?,A,Graffic to show all necessary information of next task and when to start it,To check the cracks on a part or component visually,To evaluate the performance of staff by observing
9,36,Which is true for the stages of Error Iceberg?,B,The tip of the iceberg shows the serious incidents which have not been announced officially,The middle section contains all occurences which can be officially investigated,The lower section is visible and announced officially
9,37,Which dirty dozen factor exists in a working area where day shift doesnt know what night shift did last night?,B,Lack of Teamwork,Lack of Communication,Distraction
9,38,Which is true for errors?,B,75% of all errors are introduced during maintenance phase,80% of all errors are discovered during customer operation,"75% of all errors are discovered during product definition, development and planning phase"
9,39,Which of the following conditions creates a risk of no flight?,C,Criticality of fault is high and there is no probability of fault occurence,There is a probability of fault occurence and the fault is not critical,There is a probability of fault occurence and criticality of fault is high
9,40,Which element of shel model includes the procedures and instructions?,A,Software,Environment,Liveware
9,41,What is the difference between ideal system and real system according to Swiss cheese model?,A,In the ideal system there is no interference but pitfalls in real system,In the real system there is an effect from human but not in ideal system,"Consequently, the ideal system is dangerous but the real system is not"
9,42,Which of the following behaviours may lead to an accident?,C,Abnormalities are not ignored,Abnormalities are recognised and interpreted,Malfunctions are not detected
9,43,In which hazard mode there is no risk?,A,Dormant,Armed,Active
9,44,What are the dynamic effects of Fish Bone?,B,"Man, machine, material","Man, milieu, management","Machine, method, material"
9,45,What is the purpose of 6M diagram?,B,To provide a feed-back system amongst all factors,"To achieve quality, safety and reliability",To gain positive effect from all causes by improving management
9,46,What are the static effects of fish bone?,C,"man, machine, material","man, milieu, management","machine, method, material"
9,47,What should you do if one of your colleague has alcohol problem at work?,C,You are not trained for such a situation and you better do nothing,Tell him it is not a good habit and suggest him to join a therapy session,Try to convince him it is a dangerous situation and report it to your supervisors
9,48,The risk is defined by:,C,Age of the aircraft and quality of maintenance,Probability of fault criticality and occurence of faults in maintenance,Probability of fault occurence and criticality of fault
9,49,What does the SHELL model define?,B,"Relations between Hardware, Software and Enforcement","Relations between Liveware, Hardware, Software and Environment","Relations between Liveware, Software, Environment and Handling"
9,50,What does ‘visual management’ mean?,A,Grafic to show all steps of work over a time line,Protocol from the last management meeting,Report to show in writing the planned work over costs
