Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
8,26," If you steepen the angle of a banked turn without increasing airspeed or angle of attack, what will the aircraft do?
",B,It will remain at the same height,It will sideslip with attendant loss of height,It will stall
8,27,An aircraft wing tends to stall first at,C,the tip due to a higher ratio thickness/chord,the tip due to a lower ratio thickness/chord,the root due to a higher ratio thickness/chord
8,28,Dihedral wings combat instability in,C, pitch, yaw,sideslip
8,29,"To stop aircraft decreasing in height during a sideslip, the pilot can",A,advance the throttle,pull back on the control column,adjust the rudder position
8,30,"What control surface movements will make an aircraft fitted with ruddervators yaw to the left?
",A,"Left ruddervator lowered, right ruddervator raised","Right ruddervator lowered, left ruddervator raised", Both ruddervators raised
8,31,". When a leading edge slat opens, there is a gap between the slat and the wing. This is",B,to allow it to retract back into the wing,to allow air through to re-energize the boundary layer on top of the wing,to keep the area of the wing the same
8,32,Which of the following is true?,B,Lift acts at right angles to the wing chord line and weight acts vertically down,Lift acts at right angles to the relative airflow and weight acts vertically down,"Lift acts at right angles to the relative air flow and weight acts at right angles to theaircraft centre line_x000D_
8	NULL	33	 If the wing tips stall before the root on a swept wing aircraft, the aircraft will						x	x	x	x	x	x			B	roll	pitch nose up	pitch nose down_x000D_
8	NULL	34	Lift on a delta wing aircraft						x	x	x	x	x	x			A	increases with an increased angle of incidence (angle of attack)	decreases with an increase in angle of incidence (angle of attack)	does not change with a change in angle of incidence (angle of attack)_x000D_
8	NULL	35	On a straight wing aircraft, stall commences at the						x	x	x	x	x	x			A	root on a high thickness ratio wing	tip on a high thickness ratio wing	tip on a low thickness ratio wing_x000D_
8	NULL	36	On a high wing aircraft in a turn						x	x	x	x	x	x			B	the up-going wing loses lift causing a de-stabilizing effect	the down-going wing gains lift causing a stabilizing effect	the down-going wing loses lift causing a de-stabilizing effect_x000D_
8	NULL	37	For the same angle of attack, the lift on a delta wing						x	x	x	x	x	x			B	is greater than the lift on a high aspect ratio wing	is lower than the lift on a high aspect ratio wing	is the same as the lift on a high aspect ratio wing_x000D_
8	NULL	38	Standard sea level temperature is	x	x	x	x	x							x		B	0 degrees Celsius	15 degrees Celsius	20 degrees Celsius_x000D_
8	NULL	39	As altitude increases, pressure	x	x	x	x	x							x		C	decreases at constant rate	increases exponentially	decreases exponentially_x000D_
8	NULL	40	The thrust-drag couple overcomes the lift-weight couple. What direction of force is required to be produced by the tail of the aircraft to maintain straight and level flight?
						x	x	x	x	x	x			A	 Upwards	 Downwards	Sideways_x000D_
8	NULL	41	Lapse rate usually refers to	x	x	x	x	x							x		C	Pressure	Density	 Temperature_x000D_
8	NULL	42	During a turn, the stalling angle	x	x	x	x	x							x		C	 increases	decreases	remains the same_x000D_
8	NULL	43	The vertical fin of a single engined aircraft is	x	x	x	x	x							x		A	parallel with both the longitudinal axis and vertical axis	parallel with the longitudinal axis but not the vertical axis	parallel with the vertical axis but not the longitudinal axis_x000D_
8	NULL	44	Aircraft flying in the transonic range most often utilize	x	x	x	x	x							x		A	sweptback wings	advanced supercritical airfoils	high wings_x000D_
8	NULL	45	Which type of flap changes the area of the wing?	x	x	x	x	x							x		A	Fowler	Split	Slotted_x000D_
8	NULL	46	Forward swept wings tend to stall at the root first so the aircraft retains lateral control, so why are they never used on passenger aircraft?
						x	x	x	x	x	x			C	Because the wing tips wash in at high wing loads	Because the wing tips wash out at high wing loads	Because at high loads their angle of incidence increases and the loads imposed on the  wing can increase until they destroy it"
8,47,What happens to air flowing at the speed of sound when it enters a converging duct?,A,"Velocity decreases, pressure and density increase","Velocity increases, pressure and density decreases","Velocity, pressure and density increase"
8,48,As the angle of attack of an airfoil increases the centre of pressure,A,moves forward,moves aft,remains stationary
8,49,"An aircraft, which is longitudinally stable, will tend to return to level flight after a movement about which axis?
",A, Pitch,Roll,Yaw
