Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
15,1,Boyle’s law states:,A,P1.V1 = P2.V2,P.V=n.R.T,Q=m.c.ΔT
15,2,What is the equivalent value of 15°C in Kelvin?,B,278,288,298
15,3,Entropy change means:,C,The ratio of pressure to volume,Pressure ratio,The ratio of heat to temperature
15,4,"In turboprop engines,",C,There is a mechanical connection between free turbine and propeller,There is a mechanical connection between free turbine and reductor,There is a mechanical connection between free turbine and compressor
15,5,Free turbine..,C,Drives compressor,Drives combustion chamber,Reductor gear drives propeller
15,6,First law of Newton states…,A,Inertia,F= m.a,Action-reaction
15,7,Which law of Newton can the propulsion in jet engines be explained by?,C,Inertia,F= m.a,Action-reaction
15,8,What is the speed range of transonic aircraft?,B,"0-0,75 mach","0,75-1,3 mach","1,3-5 mach"
15,9,What is the purpose of turboshaft engines in aviation?,A,Supplying power to helicopters,Supplying power to aeroplanes,Production of jet propulsion
15,10,Ram jet air inlet is…,A,Divergent,Convergent,Convergent / divergent
15,11,Patent of jet-driven engines belongs to…,A,Rane Lorin,Agusto Otto,Rudolf Diesele
15,12,Patent of jet propulsion engines belongs to…,C,Rane Lorin,Agusto Otto,Rudolf Diesel
15,13,General gas equation is..,A,P.V/T = constant,P.V = constant,P/T = constant
15,14,The first law of Newton which is also called inertia states that…,A,When a force is applied to an object it will tend to keep its stability or motion,Force is related to mass and acceleration,There is always an equal reactionin the opposite direction to any action
15,15,"Which of the following equations expresses the basic propulsion formula? (V1=incoming air velocity, V9=outgoing air velocity, P1 and P9= pressures, Aa= section area of exhaust exit)",C,93,79,53
15,16,Working cycle of gas turbine engine is called also…,C,Otto cycle,Diesel cycle,Brayton cycle
15,17,Brayton cycle occurs under the condition of…,A,Constant pressure,Constant volume,Constant temperature
15,18,Which comparison is correct for a divergent duct?,C,V<P<T,V>P>T,V<P>T
15,19,Which comparison is correct for a convergent duct?,C,V<P<T,V>P>T,V>P<T
15,20,What is the velocity of narrowest cross-section of convergent/divergent nozzle?,A,1 Mach,"0,8 Mach","1,3 Mach"
15,21,Which is correct for ISA temperature?,A,"Decreases 1,98°C with increasing an altitude of 1000 feet","Increases 1,98°C with increasing an altitude of 1000 feet","Decreases 6,5°C with increasing an altitude of 1000 feet"
15,22,What is temperature value at mean sea level according ISA in Kelvin?,C,0,15,288
15,23,Whihc is correct for tropopause?,B,The layer between ionosphere and stratosphere,The layer between troposphere and stratosphere,The layer between ionosphere and troposhere
15,24,Which equation is correct for Horse Power?,A,1 HP = 550 feet lb/s,1 HP = 500 feet lb/s,1 HP = 650 feet lb/s
15,25,Pressure ratio of compressor:,A,P3/P2,P5/P4,P9/P7
15,26,Pressure ratio of engine:,A,P7/P2,P9/P7,P4/P3
15,27,Net thrust of engine:,A,(P-Po.A+W(Vj-V./g,(P-Po.A,W(Vj-V./g
15,28,When does an engine produce the highest thrust?,C,High aircraft velocity,Low aircraft velocity,On ground
15,29,"An engine has airflowing mass of 1.200 kg/min, and a bypass ratio of 5:1. How much air is used for combustion?",B,25 kg/min,50 kg/min,240 kg/min
15,30,An engine has airflowing mass of 1.200 kg/min. How much air is used for combustion?,A,75 kg/min,240 kg/min,120 kg/min
15,31,When is the highest thrust of a gas turbine engine produced?,A,At high RPM,At low RPM,At low aircraft speed
15,32,Air inlet in commercial and business jets is,B,Stable,Divergent,Convergent
15,33,Air inlet is located..,A,In front of compressor,In front of combustion chamber,In front of turbine
15,34,The station number of engine air inlet is ..,A,1,2,3
15,35,"In all supersonic aircraft, air inlet is…",C,Divergent,Convergent,Convergent/divergent
15,36,Which comparison is correct for air inlet of business and commercial aircraft?,A,P>T>V,P>T<V,P<T>V
15,37,When does the shock wave happen in aircraft?,B,At the velocity of 1 Mach,At the velocity higher than 1 Mach,At the velocity lower than 1 Mach
15,38,Which is correct for air inlet?,C,It decreases the velocity below sound speed,It controls shock occurence,All
15,39,Which is correct for centrifugal-flow compressor?,C,easy production,using with small engines,all
15,40,what is the main advantage of axial flow compressor?,A,Breathing more air,More efficient,Easy production
15,41,Which of the following is not a part of axial flow compressor?,B,Impeller,Air inlet,Diffusser
15,42,What is the bypass ratio in turbofan engine with high bypass?,C,1:3,1:4,1:5
15,43,Discs and blades can be produced as a complete part. What is the name of the product?,C,Blast,Disc,Blisk
15,44,What is the name of powered engine stall?,A,Surge,Stall,Velocity
15,45,Where is Variable Stator Vane located?,A,First stages of HP compressor,First stages of LP compressor,First stages of LP turbine
15,46,How is CIT sensor called?,A,Tt2,Tt3,Tt4
15,47,Bleed valve system consists of…,B,"One to bleed the 13th stage air, two to bleed the 8th stage air","Two to bleed the 13th stage air, one to bleed the 8th stage air","One to bleed the 13th stage air, one to bleed the 8th stage air"
15,48,What does the station number Ps3 represent?,C,High pressure compressor inlet pressure,Low pressure compressor inlet pressure,Low pressure compressor discharge pressure
15,49,What does the station number Pt2 represent?,A,Compressor inlet total pressure,High pressure discharge pressure,Turbine discharge total pressure
15,50,What does the station number Ps4 represent?,A,Turbine inlet static pressure,Turbine discharge static pressure,Compressor inlet static pressure
15,51,VBV’s are generally located at…,C,Turbine section,Combustion chamber,Engine fan frame
15,52,What of the following is one of the tasks of VBV?,A,To direct LP compressor air to fan duct,To direct LP turbine air to fan duct,To direct HP compressor air to fan duct
15,53,Which of the following is one of tasks of VBV?,C,To control the air flowing into LP turbine,To control the air flowing into HP turbine,To control the air flowing into HP compressor
15,54,Which of the following is one of the tasks of VBV?,A,To protect LP compressor against stall and surge,To protect HP compressor against stall and surge,To protect HP turbine against stall and surge
15,55,What is the location of VSV?,B,First stage of LP compressor,First stage of HP compressor,First stage of LP turbine
15,56,Which of the following is not a material of compressor stator vane?,C,Nickel,Titanium,Aluminium
15,57,In what way is VSU rods driven?,A,By FCU fuel pressure,By hydraulic pressure,By pressurized air
15,58,Which of the following is not a method of securing rotor blade?,C,Solid root,Fir tree root,Juniper root
15,59,In axial flow compressor..,B,P=constant T>V,V=constant P>T,P=constant T<V
15,60,How do N1 and N2 vibration signals occur?,B,By using two independent vibration sensors,By comparing N1 and N2 rpm signals,By using two dependent vibration signals
15,61,What does P3 sensor measure?,C,Compressor inlet temperature,LP turbine discharge pressure,HP compressor discharge pressure
15,62,What kind of temperature sensor is used for EGT?,B,NTC resistor,Thermocouple,Pyrometer
