Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
17,206,A fibreglass composite blade.,C,will never be struck by lighting.,does not require lightning strike protection.,requires lightning strike protection.
17,207,The timber most often used today for propeller construction is.,A,birch.,spruce.,balsa
17,208,Electronic torque measuring systems utilise.,A,strain gauges in the reduction gear.,stress gauges in the reduction gear.,pressure transducers in the reduction gear.
17,210,Metal at the tip and along the leading edge of a wooden propeller is.,B,for balancing.,for protection.,for Anti-icing.
17,211,Blade cuffs are fitted to the root of the blades.,C,to increase the strength of the blade.,to increase thrust.,to increase flow of cooling air into the engine nacelle.
17,212,Low torque sensing is used to.,C,increase power.,increase pitch.,initiate auto-feather.
17,213,Torque sensing is used to.,B,reduce drag.,reduce drag following engine shutdown.,synchronise blade angle.
17,214,The minimum percentage seating on a propeller rear cone should be.,B,90%.,70%.,95%.
17,215,The propeller is 'feathered' when the blades are at.,C,0° to plane of rotation.,20° to plane of rotation,90° to plane of rotation.
17,216,The thrust of a propeller is normally taken by the.,C,torque meter.,propeller rear cone.,front bearing in the reduction gear.
17,217,On which type of turbo-propeller would you expect to find a parking brake?.,C,Compounded twin spool.,Direct coupled twin spool.,Free turbine.
17,218,What does the torquemeter reading indicate in a gas turbine engine?.,A,Torque reaction at the reduction gear.,The ratio between engine thrust and engine torque.,Engine torque
17,219,The gear segments on the blade roots of a hydromatic propeller mesh with the.,C,stationary cam.,torque tubes and eye bolts.,moving cam.
17,220,A propeller is centralised on the propeller shaft by.,A,the front and rear cones.,the front git seal.,the rear pre-load shims.
17,221,Reduction gearing allows the.,A,blade tips to operate below the speed of sound.,blade tips to operate above the speed of sound.,blade tips to rotate slower than the root of the propeller blade.
17,222,When fitting a propeller to a tapered shaft.,A,locate the master spline.,ensure the master spline and blade alignment are in accordance with the MM.,ensure fully seated.
17,223,What is the purpose of small holes at the tip of wooden propellers?.,A,Drainage.,Balancing.,Pivot points used during manufacture.
17,224,The thrust face of a propeller blade is the.,B,root to which the gear segment is fitted.,blade face or flat side.,blade back or curved side.
17,225,Solidity of a propeller can be increased by.,A,increasing blade chord.,increasing blade angle.,increasing blade thickness.
17,226,A turbo-prop engine.,A,uses an epicyclic reduction gear system.,uses a spur gear reduction system.,does not require a reduction gear system due to the propshaft being driven from the low speed compressor.
17,227,Total power of a turbo-prop engine is measured in.,A,Equivalent Shaft Horsepower (ESHP).,Shaft Horsepower (SHP).,Brake Horsepower (BHP).
17,228,The disadvantage of using reverse pitch on a turbo-propeller engine is.,B,"exhaust gas ingestion , high gas temperature and debris ingestion.",debris ingestion.,high gas temperature.
