Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
4,1,What gives the colour of an LED?,A ,The active element.,The plastic it is encased in.,The type of gas used inside it.
4,2,A germanium diode is used for.,A ,rectification.,voltage stabilization.,modulation.
4,3,Why is a diode put in parallel with an LED?.,A ,To protect it from AC.,So it will work only above a certain,So it will work only below a certain voltage.
4,4,When testing the forward bias of a diode with a multimeter.,C,the positive lead of the ohmmeter is placed on the anode.,it does not matter which terminal the positive lead of the ohmeter is placed.,the positive lead of the ohmmeter is placed on the cathode.
4,5,This is a diagram of.,A ,an SCR.,a TRIAC.,a Schottky diode.
4,6,Which of the following describes the characteristics of a Thyristor?.,C,High voltage handling.,High power handling.,High current handling.
4,7,Light Emitting Diodes (LEDs).,A ,emit light of only one wavelength dependent on type.,have very wide viewing angles.,are easily damaged if forward biased b more than 5V.
4,8,"In a semiconductor junction diode, electrons are the minority carriers.",A ,within the P region.,within the N region.,in both the N and P regions.
4,9,"A silicon diode, when compared to a germanium diode has.",A ,a higher forward bias voltage. ,the same forward bias voltage.,less forward bias voltage.
4,10,This symbol is.,B,a transistor.,a diode.,a triac.
4,11,This symbol is.,A ,a photodiode.,a laser diode.,an LED.
4,12,A zener diode., B,allows current to flow in one direction.,stabilizes voltage at a predetermined level.,acts like a switch.
4,13,A junction diode.,B,is similar to a vacuum diode but cannot rectify.,has one p-n junction.,can handle only very small currents
4,14,Reverse bias.,A ,raises the potential barrier,lowers the potential barrier.,greatly increases the majority carrier current.
4,15,A diode connected across a relay coil is used to.,A ,dissipate coil spikes on switch off.,allow the coil to energize with only one polarity.,cause a delay in switching on.
4,16,"To check the forward resistance of a diode with a multimeter, the lead connected to the positive terminal is put to the.",A ,anode.,cathode.,either anode or cathode.
4,17,A thyristor has which of the following?.,B,A positive temperature coefficient.,High resistance when switched off.,High resistance when switched on.
4,18,What does the circuit shown do?.,B,Full wave rectifier.,Half wave rectifier.,Voltage doubler.
4,19,"In an LED, what is used to make the colour?.",C,The plastic lens cover.,The electrons.,The doping material.
4,20,An atom with 5 electrons in its outer shell is part of.,C,a C type material.,a P type material.,an N type material.
4,21,A thyristor is commonly used for.,C,overvolts regulation.,voltage regulation.,rectification.
4,22,A diode which emits photons when conducting is a.,A ,light emitting.,varactor.,zener.
4,23,The electrodes of an SCR are.,A ,"gate, cathode, anode.","source, drain, gate.","anode, cathode, source."
4,24,What gives an LED its colour?.,C,A gas.,The cover.,Composition and impurity of the compound
4,25,Forward voltage of a silicon diode is,B,1.6V.,0.6V.,0.2V.
4,26,What is the typical volts drop across an LED.,C,0.2V.,0.4V.,1.6V.
4,27,What diode gives off light photons when forward biased.,A ,LED.,Gunn diode.,Schottky diode.
4,28,The anode of a diode is connected to a +4V DC supply and the cathode is connected to a +2V DC supply. The diode is.,C,forward biased not conducting.,reverse biased not conducting.,forward biased conducting.
4,29,Using electron flow in a diode the current flows from,C,Anode to Cathode.,Cathode to Base,Cathode to Anode.
4,30,When a hole diffuses from the p region to the n region.,A ,raises the potential barrier,it becomes a minority carrier in the n region,lowers the potential barrier
4,31,A junction diode.,C,can handle only small currents.,is similar to a vacuum diode but cannot rectify.,has one p-n junction.
4,32,A germanium diode.,A ,has a lower forward bias voltage than a silicon diode,has a higher forward bias voltage than a silicon diode.,has the same forward bias voltage as a silicon diode.
4,33,What switches off a thyristor?.,C,Reverse bias gate,Remove the gate voltage.,Remove supply voltage.
4,34,When an SCR is switched on it has.,A ,low resistance.,no change in resistance.,high resistance.
4,35,A piece of pure Germanium.,A ,is electrically stable.,has a deficit of electrons.,has an excess of electrons.
4,36,"When a diode is forward biased, current flow is mainly due to the.",B,germanium bias junction.,majority carriers.,minority carriers.
4,37,When a diode is forward biased the.,C,positive lead is connected to both N and P type.,positive lead is connected to the N type and negative to the P type,positive lead is connected to the P type and negative to the N type.
4,38,The typical voltage drop across an L.E.D is.,A ,2V.,4V.,6V.
4,39,What are the majority carriers for a forward biased PN junction device?.,A ,Electrons and holes.,Holes.,Electrons.
4,40,Germanium in its pure state is.,B,negatively charged.,neutral.,positively charged.
4,41,Which diode has a lower forward bias voltage?.,B,Silicon.,Germanium.,Both have the same forward bias voltage.
4,42,A Zener diode is used for.,C,voltage stabilisation.,rectification.,voltage regulation.
4,43,A thyristor SCR is a.,B,bi-directional device.,unidirectional device.,multidirectional device.
4,44,What component is used to turn AC to DC?.,B,Thyristor.,Diode.,Transistor.
4,45,What is an intrinsic material?.,C,One with added elements.,One with removed elements.,A pure material.
4,46,The voltage drop of a silicon diode is.,B,1 V.,0.7 V.,0.3 V.
4,47,A diode is parallel to an LED in an AC circuit to.,C,provide correct amount of current for LED when circuit is switched on.,prevent back EMF in the circuit when LED is switched off.,protect LED from AC current when switched on.
4,48,"In a forward biased diode, current is carried by.",B,majority carriers.,both.,minority carriers.
4,49,When checking a diode for reverse bias resistance the positive lead goes to.,B,anode and negative lead to earth.,cathode and negative lead to,anode and negative lead to
4,50,Zener diodes are used for.,B,Current control.,Voltage control.,Temperature control.
4,51,Once started conducting an SCR switches off.,A ,only when the anode goes negative to the cathode.,automatically after a specific time.,only when the anode goes positive to the cathode.
4,52,"In a forward biased diode, electrons leave the.",B,the anode.,the cathode.,the doped area.
4,53,Diodes are.,B,conductors.,semi-conductors.,Insulators.
4,54,"To function, i.e. conduct, a junction diode made of silicon requires a forward bias of at least.",C,0.2V.,1.41V.,1V.
4,55,What is the average gain of an Op Amp?.,B,20,200000,200
4,56,Tunnel diodes have the following characteristics.,A ,Heavily doped P-N junction with an extremely narrow depletion region.,Lightly doped P and N regions and a high reverse breakdown voltage.,"Lightly doped P region, heavily doped N region and has a fast response time."
4,57,The capacitance of a varactor diode is.,A ,inversely proportional with reverse bias voltage,a linear function of applied reverse bias voltage.,directly related to the forward bias voltage.
4,58,A semiconductor doped with an element having a valency of 5 will produce.,A ,an N type material.,either an N type or a P type depending on what type of semiconductor material is used.,a P type material.
4,59,"In a diode clamper, if the resistor is removed making the time constant equal to C x r where r is the reverse resistance of the diode, this will ensure a.",A ,long time constant.,short time constant.,Very Long Time Constant.
4,60,PIN diodes are used mainly for. ,B,linear rectifiers.,fast switching devices.,voltage operated rectifiers.
4,61,"To enable an IMPATT diode to operate correctly, it must be.",C,connected to a resonant circuit,used in its reverse bias mode.,operated in its negative resistance range.
4,62,What type of diode would be used to stop voltage spikes across a coil of a relay?.,B,Gunn diode.,Double acting diode.,Schottky diode.
4,63,What is a schottky diode used for?.,C,Rectification.,Stabilization.,Very high frequency applications.
4,64,When a hole diffuses from a p-region to the n-region it.,C,becomes a minority carrier in the n-region.,lowers the potential barrier.,raises the potential barrier.
4,65,The junction barrier offers opposition to only,C,holes in the p-region.,free electrons in the n-region.,majority carriers in both regions.
4,66,Avalanche breakdown occurs when.,A ,reverse bias exceeds a certain value.,forward bias exceeds a certain value.,forward current becomes excessive.
4,67,"If forward bias is increased from zero on a p-n junction, a rapid increase in current flow for a relatively small increase in voltage occurs.",C,when the flow of minority carriers is sufficient to cause an avalanche breakdown.,when the depletion layer becomes larger than the space charge area.,only after the forward bias exceeds the potential barrier.
4,68,A band pass filter excludes frequencies.,B,below the frequency required only.,above and below the frequency required.,above the frequency required only.
4,69,"In an unbiased p-n junction, current flow is.",B,"zero, because equal but opposite currents are crossing the junction.","zero, because no charges are crossing the junction.",due to the diffusion of minority carriers only.
4,70,"With a small amplitude voltage, what type of diode would you use to produce the output waveform?",C,Gunn.,Zener.,Schottky.
4,71,What diode is used to stop power spikes in a coil?.,C,Gunn diode.,Schottky diode.,Two directional zener diode.
4,72,What type of diode when forward biased holes and electrons recombine producing photons?.,A ,LED.,Photodiode.,Gunn.
4,73,A zener diode is designed to operate.,C,below its breakdown voltage.,either above or below its breakdown voltage.,above its breakdown voltage.
4,74,A triac is a type of.,C,thermistor.,Option B. transistor.,thyristor.
4,75,"If a junction diode is reverse biased too far, the output current would.",C,reverse direction.,cease to flow.,İncrease
4,76,"When a PN junction is forward biased, it conducts via.",B,intrinsic carrier.,majority carrier.,minority carrier.
4,77,"In the Zener Diode suppressor shown, point X in respect to point Y should be.",C,more Positive.,either positive or negative.,more negative.
4,78,If the reverse bias voltage across a diode is too high.,B,load current reduces to zero.,load current increases rapidly.,load current reverses.
4,79,An LED which emits green light uses.,A ,gallium phosphide.,gallium arsenide.,gallium arsenide phosphide.
4,80,A photodiode is operated under.,A ,reverse bias conditions.,forward bias conditions.,reverse or forward bias conditions.
4,81,To increase capacitance of a varactor diode.,B,reverse bias voltage is increased.,reverse bias voltage is decreased.,forward bias voltage is decreased.
4,82,The diagram shows a.,A ,voltage doubler.,half wave rectifier.,full wave rectifier.
4,83,A bi-directional TRIAC has two SCRs connected in.,B,series parallel.,inverse parallel.,parallel series.
4,84,A thyristor can be forward biased by a.,C,positive or negative pulse.,negative pulse.,positive pulse.
4,85,N' type materials are doped with.,C,acceptors.,acceptors and donors.,donors.
4,86,"In an electronic circuit, if the anode of a diode is clamped to ground. What is this called?.",C,A negative clamping circuit.,A negative limiting circuit.,A positive clamping circuit.
4,87,To decrease the capacitance of a varactor.,C,reverse bias should be decreased.,forward bias should be increased.,reverse bias should be increased.
4,88,A Zener diode is used across the output for a power supply circuit to.,C,give a full wave rectification.,prevent thermal runway.,provide a steady DC voltage output without falling.
4,89,"If a diode has gone open circuit in a full wave bridge rectifier, the output frequency ripple is.",C,the same as the input frequency.,twice the input frequency.,half the input frequency
4,90,In a full wave bridge rectifier,A ,the output is pure DC. Frequency is 0 Hz.,the output frequency is twice the input frequency,the output voltage is twice the input voltage
4,91,"After passing through a rectifier, alternating current becomes.",B,smooth direct current.,pulsating direct current.,square wave form current.
4,92,A Zener diode usually works.,A ,only in reverse bias.,at variable voltages.,only in forward bias.
4,93,P' type materials require.,A ,acceptors.,conductors.,donors
4,382,Which picture shows a diode?,A ,20,34,43
4,383,What is the forward voltage of silicon diodes?,C,"0,3V","0,5V","0,7V"
4,384,Which of the following is incorrect for rectifier diode?,C,Forward direction; anot to (+) and cathode to (-),Reverse direction; anot to (-) and cathode to (+),Diode is the conductor companent
4,385,Which defines the internal structure of the diode?,A ,PN junctional,PNP junctional,NPN junctional
4,386,Which of the following with temperature effect on diode is correct?,B,As temperature increases forward voltage is increased.,As temperature increases reverse voltage is decreased.,Forward voltage is the directly proportional to the temperature.
4,387,What is the barrier voltage of germanium diode?,B,"0,6V","0,3V","0,2V"
4,388,Which is the output signal of the circuit?,A ,51,8,68
4,389,What is the following the output signal of the circuit?,C,30,21,64
4,390,Which is the output signal of the circuit?,B,Half-Wave Rectification,Full-Wave Rectification,Half-Wave Signal
4,391,Which is used to smooth the current after rectified?,A ,Capacitor,Resistor,Conductance
4,392,Which picture shows a photo-diode? ,A ,I,II,III
4,393,Which picture shows a zener-diode?,C,I,II,III
4,394,Which does the abbreviation LED stand for? ,A ,Light Emitting Diodes,Light Emitted Diodes,Light Emiter Diodes
4,395,LED diode forward voltage depends…………………..?,A ,…… on the color,…… the types.,…… the current.
4,396,What is zener-diode used for? ,B,Inverting,To generate a reference voltage or Voltage stabiliser,Full wave Rectifier
4,397,How is bias of photo-diode? ,B,Forward direction,Reverse direction,Higher direction
4,398,Which of the following photo-diode correct?,B,İs a light-emitting diode.,The current is directly proportional the light intesity.,The resistance is directly proportional the light intesity.
4,399,Which elements belong to the above symbol?,B,VDR,LDR,LED
4,400,Which is incorrect for LDR work?,C,When the ligh intensity decreases the resistance increases.,When the ligh intensity increases the resistance decreases.,LDR is a type of diode.
4,401,LDR which is not used the application?,A ,Rectifier,Dimming switches,Photometers
4,402,What does the abbreviation VDR stand for?,A ,Voltage Dependent Resistor,Voltage Defenced Resistor,Varistor Dependent Resistor
4,403,Which is incorrect for VDR?,C,İs called varistors,The resistor increases when the voltage decreases.,Symbol is;
4,404,The symbol for SCR which option given is correct?,A ,44,27,5
4,405,The tree regions of all SCR are?,C,"Anot, Collector, Gate","Voltage, Gate, Cathode","Anot, Cathode, Gate"
4,406,Which of the following is incorrect for SCR?,B,Used as an electronic controlled switch.,Passes current flow in both directions.,SCR; Silicon Controlled Rectifier
4,407,Symbol belonds to which element.,A ,Triac,Thyristor,Transistor
4,408,Which element is over pass current in both directions?,B,Diode,Triac,VDR
4,409,What is not correct for static resistance measurement?,C,Reverse resistance check,Forward resistance check,Ampermeter is connected to the diode leads.
4,410,Two silicon diodes are connected in series. What is the barrier voltage value?,C,"0,6V","0,2V","1,4V"
4,411,Three germanium diodes are connected in series. What is the barrier voltage value?,A ,"0,9V","0,3V","0,6V"
4,414,Which of the following correctly in the transistor regions is given?,B,"Collector, Base, Emitting","Base, Collector, Emitter","Emitter, Conductor, Base"
4,415,Which one is correct for PNP bias?,A ,66,48,68
4,416,Which of the following incorrect?,C,IE  = IB + IC,IC = IE -IB,IC = IB- IE
4,417,Which one is correct for NPN bias?,C,63,88,87
4,418,"On a NPN transistor you can measure the IB?(IC8,2mA,IE=9,6mA)",A ,"1,4mA","2,5mA",3mA
4,419,Which of the following incorrect?,C,When the  VBE decrease VCE the increase,When the VBE  increase VCE the decrease,VBE is directly proportional with the RCE
4,420,Which is not a transistor applications?,B,Amplification,Rectifier,Switching
4,421,What type of transistor connections is shown in the picture?,B,Common Emitter,Common Collector,Common Base
4,422,Input and output signals of the circuit which belong to?,A ,Common Emitter,Common Collector,Common Base
4,423,Which statement is incorrect about Common Collector Amplifier?,A ,VP is very big ,vu<1 ,ϕ is 0°
4,424,Which statement is correct about Common Base Amplifier?,B,VU very small ,Vİ <1,ϕ is 180°
4,94,Which of the following explains how the photodiode works?.,C,Photodiodes are forward biased to conduct when light falls upon them.,Photodiodes are back biased not to conduct when light falls upon them.,Photodiodes are back biased to conduct when light falls upon them.
4,95,In an NPN transistor the P is the.,C,collector.,emitter.,base.
4,96,"When compared to a photo diode, a photo transistor.",C,is less sensitive to light levels.,responds faster to changes of light,is slower to respond to changes of light.
4,97,"For correct operation of a transistor, the following conditions must apply.",C,The base-emitter junction must be forward biased and the base-collector junction must be greater than 0.7 volts.,For an NPN transistor the base-emitter junction must be forward biased and for a PNP transistor the base emitter junction must be reverse biased.,The base-collector junction must be reverse biased and the base-emitter junction must be forward biased.
4,98,Current gain in a common emitter amplifier is given the symbol.,A ,Β.,a.,Hcg.
4,99,When a positive voltage is applied to the base of a normally biased n-p-n common emitter amplifier.,A ,the collector voltage goes less positive.,the emitter current decreases.,the base current decreases.
4,100,Which way does conventional current flow in a PNP junction?.,A ,Emitter to base.,Collector to base.,Collector to emitter.
4,101,"For conduction of a transistor, the emitter junction is.",C,forward or reverse as appropriate to the input signal.,reverse biased.,forward biased.
4,102,"In a PNP transistor, which way does conventional current flow?.",C,Base to emitter.,Collector to emitter.,Emitter to collector.
4,103,"In a PNP transistor, conventional current will flow when.",A ,the emitter is more positive than the base.,the base is more positive than the emitter.,the collector is more positive than the emitter.
4,104,In a common collector circuit the output and input are.,A ,in phase.,out of phase by 60°.,out of phase by 90°.
4,105,For an NPN transistor to conduct the collector circuit has to be.,A ,more positive than the base.,less positive than the emitter.,more positive than the emitter.
4,106,Point X compared to point.,B,Y is more negative.,Z is more positive.,Z is more negative.
4,107,The resistance measured using an AVO between the Collector and Emitter of a transistor is.,B,smaller Collector to Emitter.,same both ways.,higher Collector to Emitter.
4,108,A transistor is used in.,B,current amplifiers.,both current amplifiers and voltage amplifiers.,voltage amplifiers.
4,109,Under normal operating conditions X will be.,B,negative with respect to Z.,positive with respect to Z.,negative with respect to Y.
4,110,In which direction does the current flow on a PNP transistor when forward biased?.,B,Emitter to base.,Emitter to collector.,Collector to emitter.
4,111,With an NPN transistor electrons leave the.,C,Base.,Collector.,Emitter.
4,112,"In a transistor, the arrow always points in the direction of.",B,electron flow.,conventional current.,emitter.
4,113,In an NPN transistor the.,A ,collector is more positive than the base,collector is the same as the base.,emitter is more positive than the base.
4,114,In an NPN transistor the.,B,emitter is more positive than the,collector is more positive than the emitter.,emitter is more positive than the collector.
4,115,"If light entering a photo transistor decreases, the current to the collector.",A ,decreases.,remains the same.,increases.
4,116,A silicon bi-polar transistor with two depletion zones.,C,operates by varying electric fields.,is a voltage operated device.,consists of 3 slices of semiconductor material.
4,117,How is the amplifier in the diagram shown wired?.,B,Common base.,Common emitter.,Common collector.
4,118,To decrease the voltage gain of a common emitter amplifier you would increase the resistance in the.,C,base circuit.,emitter circuit.,collector circuit.
4,119,The current I/P and O/P waveforms in a common emitter amplifier are.,A ,out of phase.,in phase.,90° out of phase.
4,120,Which mode of operation provides the best high frequency response? Common.,B,emitter.,base.,collector.
4,121,A FET when compared to a junction transistor is.,C,low impedance.,current operated.,high impedance.
4,122,One characteristic of the emitter follower is.,A ,low resistance output.,low current amplification.,high voltage amplification.
4,123,"An amplifier current gain will be slightly less than 1, but its voltage gain will be high, if it is connected in the.",A ,common base configuration.,common emitter configuration.,common collector configuration.
4,124,The common collector amplifier is sometimes called the emitter follower circuit because.,C,the emitter voltage follows the collector voltage,the emitter current follows the collector current.,the emitter voltage follows the base voltage.
4,125,Amplifiers may be classified as.,A ,voltage amplifiers or power amplifiers,oltage amplifiers or impedance amplifiers.,common emitter or common collector amplifiers.
4,126,An amplifier can provide both voltage gain and current gain when it is connected in the.,B,common collector configuration.,common emitter configuration.,common base configuration.
4,127,How do you increase voltage gain of an amplifier?.,B,decrease base circuit bias.,decrease input resistance.,decrease output resistance.
4,128,"In the diagram shown, what is resistor R used for?.",C,Amplification.,Bias.,Stabilisation.
4,129,The input and output signals of a common emitter amplifier are.,C,in phase.,equal.,out of phase.
4,130,A transistor is said to be in the quiescent state when.,C,no currents are flowing.,it is unbiased.,no signal is applied to the input.
4,131,A common base transistor circuit is so called because.,A ,the base is common to the emitter and collector circuits.,the base region is located between the emitter and collector region.,the base is n-type material.
4,132,"With reference to the circuit shown below, how is the transistor configured?      ",A ,Common emitter.,Common collector.,Common base.
4,133,"In a FET, the junction connections are called.",A ,"drain, source and gate.","drain, collector and junctions.","base, collector and emitter."
4,134,How is a push-pull transistor arrangement connected?.,B,Collector to collector.,Emitter to emitter.,Base to base.
4,135,Thermal runaway in a transistor is caused by.,A ,excessive heat causing maximum current flow.,excessive heat causing minimum current flow.,low heat causing minimum current flow.
4,136,An advantage of a common emitter is.,A ,it has high power gain.,it is a voltage follower.,it has high voltage gain.
4,137,What class of amplifier is biased at cut off?.,B,C,B,A
4,138,"When testing a transistor with an ohmmeter, what is the resistance of the emitter/collector?.",C,Low resistance both ways.,High resistance one way.,High resistance both ways.
4,139,A transistor at saturation has.,A ,low resistance.,zero resistance.,high resistance.
4,140,A capacitor-resistor coupled multistage amplifier lets.,C,DC pass only.,AC and DC pass to the next stage.,AC pass only.
4,141,An oscillator operating at its natural frequency has feedback which is.,C,90 degrees out of phase.,180 degrees out of phase.,in-phase.
4,142,Which mathematical operation is performed by a modulator amplifier?.,C,Addition.,Subtraction.,Multiplication.
4,143,A JFET is.,C,either of the above depending on resistance in the circuit.,current sensitive.,voltage sensitive.
4,144,Thermal runaway in a transistor refers to.,C,high current flow when temperature decreases.,low current flow when temperature increases.,high current flow when temperature increases.
4,145,Resistors and capacitors are used to couple stages of amplifiers so that.,B,only DC can be applied.,only AC can be applied.,equal amounts of AC and DC can be applied.
4,146,An advantage of a FET when compared to a bi-polar transistor is.,B,the switching time is quicker.,the input resistance is higher.,the input resistance is lower.
4,147,The typical bandwidth for an audio frequency amplifier is shown by line.,B,Z,X,Y
4,148,Where are decoupling capacitors used in digital circuits?.,B,Between pins 1 & 8.,Close to the positive pin.,Close to the negative pin.
4,149,A Common Collector circuit has the following characteristics.,A ,"Medium Voltage Gain, High Current Gain, Non-Inverted Output.","Low Voltage Gain, High Current Gain, Inverted Output.","Medium Voltage Gain, Low Current Gain, Inverted Output."
4,150,In a Common Emitter Amplifier RE is used for.,C,load control.,biasing.,stabilisation.
4,151,In the diagram the relationship of the input to the output is.,A ,180 degrees out of phase.,90 degrees out of phase.,in phase.
4,152,The most suitable class of amplifier for a high fidelity radio transmitter is.,C,B,C,A
4,153,Which curve is from a Broadband amplifier?,B,C,A,B
4,154,A transistor in Common Emitter mode gives.,C,high voltage gain only.,high current gain only.,high power gain.
4,155,"For a transistor in common emitter mode, the term Hfe indicates.",C,the Voltage gain Vce/Vbe at Ib constant.,the Power gain Pin/Pout.,the current gain Ic/Ib at Vce constant.
4,156,In a differential amplifier the term 'common mode voltage' means.,C,output voltage with one input connected to common ground.,output voltage with non-inverting input at 0 volts.,output voltage when both inputs have equal voltages.
4,157,In an ideal current amplifier.,A ,input impedance must be low and output high.,input impedance must be high and output low.,both input and output impedances must be low.
4,158,In an ideal voltage amplifier.,A ,input impedance must be high and output impedance low.,input impedance must be low and output impedance high.,input impedance must be low and output impedance low.
4,159,The term ICE related to transistor in common emitter mode means.,B,leakage current flowing between Collector and Emitter with Base open circuited.,forward current between Collector and Emitter with Base connected to signal.,leakage current between Collector and Emitter with Base connected to ground.
4,160,A common base amplifier has.,B,high input and high output impedance.,low input and high output impedance.,low input and medium output impedance.
4,161,"The emitter, base and collector currents in a common emitter circuit, follow ohm's and kirchoff's law, which is.",C,Ie = Ic - Ib.,Ib = Ie + Ic.,Ie = Ib + Ic.
4,412,Which is the symbol of PNP transistor?,B,4,48,61
4,413,Which is correct in the NPN transistor regions?,C,15,19,83
4,162,What are the ideal characteristics of an Op Amp?. ,B,"Infinite gain, infinite input Impedance and infinite output impedance.","Infinite gain, infinite input Impedance and zero output impedance.","Low gain, infinite input Impedance and zero output impedance."
4,163,What gate does the following Boolean expression represent F = A.B.C.,A ,AND.,OR.,NOT.
4,164,What gate does the following Boolean expression represent F = A+B+C.,B,NOR.,OR.,NOT.
4,165,"In an integrated circuit, the components are mounted.",C,by metal screws.,by metal oxide film.,by means of wires connecting them.
4,166,A non-inverting op-amp.,B,has an inverting input and a non-inverting output.,a non-inverting input connection only.,has a non-inverting input and an inverting output.
4,167,"In an operational amplifier, the two input waves are the same amplitude, same frequency, but exactly anti-phase. What would the output be?.",A ,Double.,Zero.,Half. Correct Answer is.
4,168,"In the following Boolean algebra statement, which gate is described?. F = A + B + C.",B,And.,Or.,Not.
